server,bus1,bus2,bus3,bus4,bus5,bus6,bus7,bus8
120,180,118,199,48,128,104,41,62
318,66,151,18,146,111,78,51,61
257,71,117,51,60,76,155,86,127
509,50,59,14,15,60,150,13,130
540,40,103,17,47,43,129,9,72
488,57,71,65,39,34,99,38,109
468,122,40,68,41,38,84,30,109
405,91,73,94,46,9,89,75,118
521,136,52,20,19,13,84,29,126
493,28,56,29,27,38,120,60,149
484,38,21,19,67,23,153,46,149
507,50,23,16,52,12,144,79,117
467,109,7,11,94,61,121,32,98
473,130,16,11,36,18,118,47,151
454,110,64,12,85,23,89,18,145
497,82,17,86,41,59,45,50,123
489,100,6,9,112,20,145,39,80
481,106,18,13,71,12,155,51,93
472,129,34,13,53,21,128,45,105
429,134,71,9,27,30,121,37,142
450,131,58,41,34,24,73,55,134
435,132,26,64,51,107,15,36,134
455,123,36,29,69,63,78,23,124
428,136,28,46,67,11,104,31,149
423,104,22,58,89,15,125,34,130
418,112,69,68,49,16,79,46,143
412,135,40,25,68,66,88,30,136
411,128,58,58,38,39,81,44,143
416,145,33,27,52,61,94,32,140
406,150,44,15,58,76,56,39,156
402,146,36,54,67,31,86,33,145
390,130,45,70,61,11,112,36,145
428,127,99,11,86,27,15,45,162
405,137,90,42,113,14,15,38,146
392,138,82,43,96,36,34,26,153
341,145,47,59,112,72,31,34,159
323,152,74,57,86,76,29,33,170
333,154,53,73,78,25,89,42,153
338,148,103,46,71,18,88,48,140
285,149,63,112,80,28,35,101,147
332,143,73,67,100,16,94,45,130
321,167,58,100,58,49,16,85,146
335,162,57,71,83,73,21,53,145
332,160,68,90,66,49,25,56,154
309,169,64,63,70,47,67,50,161
267,156,76,80,73,90,10,99,149
266,158,134,68,53,25,19,136,141
270,154,152,27,77,16,23,126,155
239,156,80,75,113,30,32,107,168
217,161,133,52,102,23,63,85,164
196,159,145,66,98,30,59,85,162
175,164,145,67,98,56,47,84,164
181,159,169,53,79,22,63,117,157
183,158,133,57,110,22,65,113,159
157,173,164,59,107,22,52,97,169
158,151,183,57,95,15,67,112,162
151,160,190,67,101,16,59,109,147
165,164,185,74,87,33,40,107,145
178,170,172,65,99,16,55,88,157
197,165,179,67,101,19,56,81,135
151,163,199,57,78,50,50,102,150
146,164,179,59,111,42,52,97,150
167,164,178,55,100,45,52,99,140
161,163,181,45,91,47,57,118,137
109,167,176,91,104,31,45,133,144
119,152,180,62,112,41,56,119,159
124,138,195,46,107,51,61,128,150
121,151,174,31,136,51,50,124,162
160,145,182,35,131,38,43,122,144
118,135,185,43,121,90,39,132,137
101,162,190,59,99,78,33,124,154
104,168,204,71,85,54,31,132,151
119,169,176,61,88,43,58,130,156
106,175,169,34,100,57,77,122,160
116,169,178,30,94,63,66,133,151
107,172,164,61,111,43,54,120,168
97,170,166,73,122,55,22,130,165
108,173,166,76,123,36,38,122,158
100,169,171,59,108,55,67,131,140
105,169,177,75,92,34,59,139,150
93,171,197,35,69,125,7,157,146
92,167,198,37,78,129,10,143,146
88,177,209,27,82,111,6,161,139
93,175,202,27,78,113,13,157,142
70,175,202,39,94,112,18,151,139
78,184,206,37,104,85,17,146,143
107,181,200,31,112,83,17,134,135
78,181,203,37,113,88,17,143,140
98,173,203,23,111,109,25,122,136
97,169,198,21,115,122,15,124,139
87,165,197,18,112,128,13,136,144
73,169,204,30,102,119,19,142,142
82,172,202,43,96,110,16,148,131
104,166,201,29,108,120,18,120,134
95,164,200,29,118,117,20,111,146
108,162,197,17,122,119,31,108,136
96,163,191,20,124,109,24,134,139
104,167,201,19,126,113,15,123,132
99,161,206,19,121,117,30,122,125
101,165,206,29,107,99,32,127,134
