server,bus1,bus2,bus3,bus4,bus5
316,192,90,144,139,119
519,14,123,177,109,58
523,61,87,83,110,136
498,83,15,116,149,139
487,34,107,143,147,82
493,16,103,149,147,92
518,60,109,120,132,61
510,14,143,133,119,81
485,17,107,129,122,140
492,15,97,132,130,134
466,13,114,131,131,145
483,19,115,139,122,122
491,57,121,125,113,93
467,20,142,124,132,115
456,23,128,121,141,131
442,22,114,130,138,154
450,24,117,136,135,138
456,90,121,145,109,79
457,38,164,147,113,81
456,22,187,135,118,82
449,49,162,127,124,89
448,71,142,127,119,93
433,65,126,131,130,115
423,77,116,134,129,121
423,64,135,137,122,119
418,45,148,132,122,135
421,52,165,124,117,121
428,42,171,133,123,103
404,66,178,123,126,103
376,74,165,129,138,118
360,89,155,137,138,121
334,102,148,135,142,139
326,91,161,151,138,133
338,98,156,139,139,130
344,106,154,130,142,124
275,128,170,150,147,130
275,125,167,148,152,133
262,127,184,157,143,127
278,123,169,158,144,128
288,141,174,136,131,130
254,136,182,159,136,133
254,125,188,156,142,135
264,126,182,155,146,127
306,96,198,142,150,108
296,114,195,138,139,118
298,109,186,137,144,126
284,107,193,150,147,119
265,112,196,155,144,128
262,116,196,156,144,126
237,118,198,157,154,136
219,133,198,154,159,137
201,132,207,157,160,143
213,117,207,164,162,137
250,116,202,145,147,140
241,130,205,128,161,135
227,134,207,135,155,142
215,139,214,144,148,140
223,129,214,152,142,140
203,130,213,154,158,142
228,132,205,151,153,131
221,128,213,157,153,128
203,134,215,155,155,138
239,112,215,155,146,133
230,123,216,155,147,129
204,121,217,163,150,145
200,112,216,171,156,145
218,113,217,155,153,144
216,112,215,157,159,141
242,112,212,142,149,143
231,111,215,155,156,132
214,116,217,160,153,140
206,130,215,150,149,150
212,127,213,151,148,149
197,140,215,156,149,143
208,141,213,154,140,144
198,130,216,162,153,141
191,133,215,161,155,145
209,139,219,160,143,130
210,137,215,161,143,134
200,155,210,153,137,145
192,155,217,140,133,163
189,151,216,137,145,162
197,154,216,137,134,162
184,153,216,150,138,159
166,154,219,157,140,164
161,152,218,158,142,169
180,146,218,156,144,156
178,144,217,156,139,166
178,144,218,157,144,159
169,151,216,161,146,157
169,150,218,164,150,149
159,152,217,161,151,160
162,154,216,162,147,159
182,153,215,155,147,148
179,136,218,157,152,158
177,153,216,160,148,146
176,151,216,159,148,150
179,148,218,157,151,147
197,151,216,150,142,144
196,152,217,148,133,154
