server,bus1,bus2,bus3,bus4,bus5,bus6
151,122,121,166,165,112,163
350,84,130,100,93,112,131
465,12,156,95,85,56,131
459,33,142,96,99,68,103
457,45,169,129,103,28,69
408,55,172,149,123,27,66
333,80,155,163,165,67,37
324,62,163,119,150,115,67
373,70,149,132,118,42,116
306,122,156,107,127,69,113
260,145,183,136,110,31,135
259,135,193,133,137,41,102
267,144,179,133,138,59,80
279,164,154,125,141,91,46
225,170,163,150,139,84,69
165,132,199,126,158,86,134
161,131,203,145,151,104,105
161,123,206,122,150,97,141
161,149,206,136,143,102,103
148,154,210,124,144,101,119
145,150,206,116,143,99,141
142,143,200,125,139,110,141
124,151,203,131,141,119,131
116,138,208,132,140,132,134
127,126,203,144,135,117,148
146,127,204,140,124,121,138
165,136,215,124,118,109,133
162,140,212,124,112,117,133
171,144,212,128,115,106,124
149,143,213,140,119,124,112
125,139,206,144,137,122,127
94,140,202,147,140,141,136
104,148,198,144,145,143,118
134,131,199,141,140,133,122
119,152,206,144,127,140,112
118,132,214,140,125,144,127
92,148,210,147,132,135,136
96,144,210,159,138,133,120
107,155,205,133,134,139,127
115,159,203,149,123,135,116
80,149,204,143,146,148,130
114,141,201,139,144,140,121
106,137,200,140,148,132,137
142,140,210,141,125,115,127
117,146,204,141,134,113,145
113,154,199,135,139,128,132
139,145,196,144,129,123,124
111,148,200,147,137,132,125
110,148,196,143,141,126,136
118,141,189,146,153,119,134
102,144,192,154,148,134,126
111,146,179,150,153,127,134
96,163,181,151,158,137,114
96,155,188,150,155,135,121
100,141,201,153,148,131,126
98,138,203,151,146,122,142
101,138,188,157,146,137,133
93,153,175,155,152,139,133
108,160,173,142,147,128,142
113,145,175,150,147,139,131
98,149,189,138,151,135,140
96,151,182,146,144,137,144
121,141,181,143,143,132,139
114,149,187,136,142,136,136
87,152,193,147,149,134,138
87,134,172,150,166,153,138
112,127,183,147,154,132,145
108,136,183,155,149,141,128
140,128,196,142,147,139,108
120,125,200,152,144,138,121
98,149,201,136,147,130,139
105,152,200,121,146,125,151
111,158,195,122,150,119,145
94,149,197,137,153,132,138
88,154,192,141,155,131,139
91,146,200,143,146,128,146
89,139,194,143,151,144,140
100,137,190,144,156,132,141
109,136,184,143,150,134,144
103,140,195,143,140,127,152
124,152,191,154,145,75,159
119,154,197,141,160,76,153
133,158,188,156,138,68,159
123,156,187,162,145,66,161
122,160,178,166,148,69,157
130,175,182,169,140,57,147
122,169,180,171,151,58,149
125,172,180,174,139,63,147
127,166,187,171,136,64,149
108,160,179,165,168,64,156
107,158,180,155,170,73,157
88,166,175,168,171,69,163
110,158,184,168,157,65,158
114,158,183,165,154,72,154
102,168,176,164,159,76,155
123,159,176,164,160,65,153
108,152,175,160,171,75,159
107,152,176,161,176,68,160
134,139,189,152,163,74,149
126,146,190,160,149,74,155
