server,bus1,bus2,bus3
476,178,201,145
479,174,179,168
541,170,186,103
533,156,192,119
523,158,166,153
546,162,168,124
540,157,177,126
532,155,177,136
543,153,170,134
536,145,175,144
529,156,164,151
514,165,169,152
532,164,147,157
526,161,161,152
532,155,168,145
534,148,174,144
537,160,151,152
528,159,173,140
531,169,146,154
534,150,176,140
537,152,152,159
529,148,167,156
528,142,171,159
520,147,169,164
532,138,176,154
539,142,162,157
533,133,181,153
547,136,160,157
544,123,174,159
540,129,176,155
537,139,165,159
530,146,167,157
532,141,175,152
522,138,183,157
539,137,174,150
546,143,162,149
542,143,168,147
548,151,158,143
528,146,176,150
536,140,168,156
552,152,141,155
542,150,150,158
543,137,174,146
532,153,164,151
538,163,144,155
524,159,159,158
533,160,158,149
529,164,162,145
532,166,158,144
533,146,175,146
535,149,158,158
515,148,176,161
512,151,176,161
519,148,187,146
510,143,190,157
529,143,175,153
529,141,169,161
516,131,187,166
536,127,183,154
532,129,183,156
526,134,175,165
515,144,183,158
516,152,173,159
504,138,205,153
546,148,155,151
528,129,172,171
518,133,183,166
516,143,168,173
520,130,181,169
520,130,184,166
533,124,177,166
518,140,175,167
511,137,185,167
493,142,195,170
523,144,159,174
514,156,153,177
525,152,150,173
509,142,179,170
514,138,180,168
509,131,196,164
533,142,164,161
534,143,176,147
523,146,170,161
519,143,174,164
518,141,173,168
527,149,159,165
504,147,178,171
518,157,157,168
495,149,185,171
519,156,158,167
524,145,169,162
527,151,154,168
517,145,168,170
511,148,173,168
516,159,156,169
506,161,169,164
519,154,158,169
536,156,140,168
530,136,173,161
521,130,184,165
