reward,reward_accumulate
-9.475207207207228,-9.475207207207228
-4.258348174087047,-8.993581790895464
-2.6052620873624552,-8.59998366122042
-1.0930435108777181,-7.54249362340585
-0.6885643128625722,-6.722257451490293
-0.34455259209868305,-5.94624704117352
-0.26159379911415925,-5.358255607943988
-0.19072896612076512,-4.879118889861232
-0.13145982886987442,-4.468394154906099
-0.11187428742874288,-4.13338433843384
-0.1081830166378762,-3.865770979179922
-0.11308692391032583,-3.6566834736228016
-0.08526178936841289,-3.4606402800215426
-0.04327923423101652,-3.256713265233231
-0.05732548836589106,-3.096910060670707
-0.056280142508906804,-2.9596212263266417
-0.0633255485616801,-2.848841167127475
-0.059167564864714736,-2.749730985054716
-0.04607405652929103,-2.6510747407758224
-0.046022151107555434,-2.564536526826333
-0.044863374446402246,-2.487273298728505
-0.04035360698213554,-2.414563889267686
-0.03910374364102787,-2.3486820296534554
-0.036949414558939964,-2.287765615233956
-0.030294131765270616,-2.226545461818459
-0.03551386591791991,-2.1764196699872946
-0.04321623023074931,-2.1390247786954957
-0.0361413979070681,-2.0987697060609176
-0.02898051656953687,-2.055376357805429
-0.042835561185372836,-2.0296970899029843
-0.03562240717442499,-1.9998432852672527
-0.06864783274477325,-2.0059940623144326
-0.07172417345980184,-2.0169286948089145
-0.037505014853378045,-1.9951105326627059
-0.04042724077830794,-1.9785329866567432
-0.02428367454651518,-1.9478558848856735
-0.02717576150706776,-1.9223854698775473
-0.018704308008105474,-1.8904993552461717
-0.02002979563578554,-1.8620535654760202
-0.02672344308607716,-1.8422245056126205
-0.012041049781701995,-1.8093321544427698
-0.018180242386723493,-1.7844320340960271
-0.033173004023349384,-1.7761056536198305
-0.0412369826586968,-1.7769756812654622
-0.020355585679681758,-1.7578420409342217
-0.029031544164003557,-1.7486587969303486
-0.018457499095725437,-1.729909998085046
-0.026749619783745484,-1.7206190753973838
-0.02302018408538949,-1.7085238678340178
-0.018600672013440265,-1.6929533790675626
-0.018940273338692925,-1.6786978372124757
-0.02226546664358931,-1.668680032308295
-0.02673971207003906,-1.663934621407934
-0.029082038556269563,-1.6622024852311927
-0.015504990999836364,-1.6474850633647724
-0.01807478704976874,-1.636139948927642
-0.016813944104282528,-1.6242491798101553
-0.016874549561199343,-1.6131189503267145
-0.016412227325886885,-1.602189715079902
-0.013621177019616995,-1.5891072851214028
-0.008787226020098689,-1.5718431449695742
-0.01162117130921466,-1.558111598574157
-0.014784948967443931,-1.5481642248289522
-0.018898467163549423,-1.542872248003865
-0.015493192202956967,-1.534628578901203
-0.012352247761329718,-1.5237285261897795
-0.0191355094852162,-1.5201214794250546
-0.010714510507507461,-1.5084809335431297
-0.012677067783591076,-1.4992956419658159
-0.015938170545293496,-1.4938149973570956
-0.011418301666220659,-1.4841933548359734
-0.012296129112904348,-1.4758754010472277
-0.08238675872272219,-1.538044411567274
-0.13226961175151036,-1.6495293585048374
-0.11136689822530985,-1.7389022386965087
-0.014128672745694015,-1.7301503177673305
-0.008691710281951722,-1.716372251587675
-0.010936935088911396,-1.7053041321042488
-0.009893099912657122,-1.6936108305168296
-0.014182827285341065,-1.686623257790713
-0.005649785799824684,-1.6714502771639075
-0.004962926377150943,-1.656029414992856
-0.007475933444981266,-1.643552946421031
-0.005758592364194812,-1.6297451993476013
-0.003079600936481606,-1.6136511017776576
-0.0031670019418830455,-1.5980545006337192
-0.0057007092035540625,-1.5853865561673026
-0.0045745633473107655,-1.5719451584677013
-0.00594476342430814,-1.5602274182855875
-0.005069500772230801,-1.547960866231836
-0.003469917251837928,-1.5344200375828176
-0.002673420363264819,-1.52041479798692
-0.00248940311186142,-1.506555479091159
-0.004495154203768124,-1.4950232768433565
-0.0026196170486005115,-1.4819056411119982
-0.0042934405566724615,-1.470762403775022
-0.00454960360416087,-1.4601493520551598
-0.003150919907345993,-1.4484006367411753
-0.005023232557904627,-1.43879341205465
-0.005638536385363856,-1.4300438704386846
