server,bus1,bus2,bus3,bus4,bus5
310,199,191,98,89,113
525,59,27,78,168,143
537,127,133,108,14,81
514,119,47,122,90,108
516,122,20,110,110,122
528,109,85,81,94,103
498,92,103,82,123,102
489,111,77,112,118,93
489,113,36,130,118,114
514,100,25,142,109,110
505,99,24,134,115,123
461,80,63,124,134,138
462,56,114,104,130,134
498,58,135,68,116,125
530,110,148,26,90,96
498,112,157,24,103,106
391,113,188,24,155,129
428,144,142,47,145,94
427,133,158,77,96,109
499,127,157,46,86,85
495,126,160,15,108,96
500,137,144,33,97,89
499,132,153,29,98,89
504,119,141,50,75,111
494,119,153,52,90,92
453,115,168,60,84,120
471,123,165,68,92,81
522,85,146,74,65,108
519,91,122,86,74,108
490,101,108,84,92,125
451,109,117,88,108,127
397,134,96,80,138,155
415,122,108,96,127,132
451,103,119,115,108,104
428,110,118,116,110,118
447,102,137,107,104,103
446,102,142,125,104,81
432,103,135,121,121,88
438,94,136,115,114,103
500,62,138,102,99,99
475,75,138,123,90,99
425,104,162,114,98,97
457,82,175,94,95,97
436,98,171,97,109,89
443,116,141,113,96,91
401,113,150,139,115,82
433,123,136,127,88,93
480,127,152,109,58,74
472,112,184,106,56,70
415,79,227,97,100,82
357,149,183,120,134,57
495,83,202,86,80,54
453,91,171,93,119,73
465,56,172,92,119,96
490,77,143,108,114,68
506,84,125,103,113,69
510,102,114,97,112,65
490,104,130,93,115,68
482,111,145,100,106,56
435,141,136,107,98,83
442,116,149,127,97,69
456,115,153,129,95,52
451,123,138,114,110,64
458,109,136,110,109,78
461,95,148,122,114,60
480,105,139,68,126,82
482,101,152,48,126,91
469,113,176,36,132,74
447,116,193,34,114,96
444,117,189,48,107,95
443,125,187,61,92,92
456,117,168,76,96,87
456,109,161,90,100,84
416,136,172,93,111,72
454,100,170,98,95,83
442,113,188,83,93,81
454,122,170,74,95,85
429,117,161,109,103,81
453,112,139,99,112,85
470,90,177,94,101,68
454,64,224,126,40,92
464,57,226,122,40,91
452,62,223,129,42,92
442,66,218,129,39,106
449,56,220,130,35,110
468,53,220,124,31,104
409,62,228,120,55,126
438,52,225,135,45,105
439,58,227,137,42,97
430,56,216,117,76,105
403,57,216,135,64,125
397,74,218,104,93,114
445,59,216,128,45,107
431,70,215,135,46,103
415,59,218,129,60,119
407,58,217,125,77,116
403,57,214,123,82,121
395,57,215,115,93,125
455,57,215,127,54,92
440,58,218,116,54,114
