server,bus1,bus2,bus3,bus4,bus5,bus6,bus7,bus8
397,132,33,87,65,114,62,35,75
535,155,12,34,46,39,29,60,90
497,104,49,119,10,106,30,72,13
456,91,14,141,11,100,85,87,15
430,81,14,149,16,93,15,107,95
399,96,30,138,44,97,53,70,73
410,131,52,97,100,67,63,30,50
411,96,17,115,30,122,83,53,73
398,100,9,126,17,123,76,71,80
366,115,8,140,9,124,86,64,88
399,135,14,145,10,92,91,47,67
393,105,39,132,17,87,98,46,83
385,131,29,54,111,127,97,29,37
322,141,43,67,87,121,125,52,42
339,147,48,115,38,81,32,84,116
318,151,29,102,64,99,17,89,131
284,147,38,110,30,110,35,116,130
309,121,37,134,17,117,51,110,104
224,129,64,138,60,110,94,82,99
303,125,64,140,47,109,117,44,51
329,122,63,131,17,109,72,73,84
185,116,116,157,32,118,98,80,98
150,123,112,125,58,132,101,101,98
153,111,89,154,10,138,113,113,119
187,116,96,145,8,125,104,119,100
207,115,88,145,27,127,87,111,93
268,118,43,127,47,116,90,104,87
201,110,75,108,94,114,110,120,68
184,92,127,116,73,108,95,132,73
165,110,135,144,39,100,107,116,84
149,120,150,141,50,100,114,82,94
136,143,158,146,72,82,118,61,84
92,132,156,159,100,95,110,72,84
104,114,142,152,125,79,101,71,112
114,126,159,152,94,86,113,74,82
93,136,157,150,103,85,115,75,86
97,146,138,150,93,99,110,77,90
93,134,168,154,85,112,102,79,73
98,131,135,146,75,119,100,100,96
101,133,145,146,90,104,99,91,91
84,126,129,150,93,111,89,103,115
74,138,143,152,95,104,96,82,116
73,145,148,130,109,106,93,78,118
95,135,204,115,99,93,90,64,105
59,135,209,128,88,101,84,62,134
50,140,184,133,119,95,96,64,119
49,157,199,122,92,126,69,73,113
45,168,178,111,90,122,67,103,116
49,167,178,113,79,119,85,81,129
60,157,171,118,109,114,88,69,114
62,154,184,117,84,111,85,74,129
50,150,177,127,57,127,83,86,143
43,159,173,105,57,116,89,108,150
69,136,168,122,71,117,84,101,132
56,136,163,111,99,106,82,110,137
44,130,153,128,79,119,89,103,155
47,126,171,129,94,109,87,93,144
57,134,159,113,75,114,99,102,147
49,138,165,117,80,107,120,90,134
73,137,176,117,71,96,118,93,119
42,137,189,104,58,105,130,109,126
59,128,168,112,78,111,114,105,125
66,140,135,103,90,113,120,128,105
62,148,109,107,85,104,110,149,126
42,142,102,130,79,111,112,151,131
30,100,132,154,97,100,124,137,126
36,128,126,141,111,89,123,145,101
37,129,128,117,114,113,123,113,126
39,121,157,104,106,113,120,100,140
32,103,190,110,117,101,134,95,118
31,127,174,119,106,68,134,123,118
35,127,164,124,90,75,130,130,125
38,155,145,112,99,91,121,122,117
47,142,148,110,109,90,142,106,106
29,132,144,120,118,94,147,101,115
25,135,141,116,110,93,161,67,152
25,141,163,102,93,92,143,97,144
18,124,151,137,96,96,154,116,108
35,126,170,132,85,88,150,94,120
55,107,167,116,66,92,142,121,134
28,95,155,134,112,95,119,145,117
27,94,161,132,103,97,133,137,116
25,97,149,142,99,83,128,162,115
26,95,163,131,100,94,128,140,123
19,109,162,129,105,79,122,149,126
11,100,165,143,100,94,108,164,115
36,92,154,140,98,81,107,160,132
29,91,163,145,95,82,108,155,132
32,105,163,142,102,77,124,152,103
25,110,149,129,114,81,129,148,115
26,121,163,123,107,80,138,124,118
18,112,153,130,121,77,126,149,114
12,116,152,125,119,89,127,144,116
48,112,155,122,121,77,128,126,111
23,119,172,125,116,74,131,122,118
54,112,159,117,120,64,134,121,119
31,119,154,132,118,73,126,141,106
27,108,151,131,124,77,128,138,116
37,104,166,138,97,94,117,139,108
42,101,169,129,92,91,118,141,117
