server,bus1,bus2,bus3,bus4,bus5
337,109,198,128,151,77
350,66,204,154,163,63
234,142,204,163,162,95
214,132,202,160,163,129
243,123,199,150,157,128
235,116,209,145,158,137
208,115,212,150,165,150
206,135,209,151,149,150
209,137,205,149,154,146
196,142,198,156,156,152
197,138,196,149,157,163
231,149,184,137,150,149
213,143,191,141,158,154
191,148,189,152,155,165
200,148,201,146,139,166
195,160,197,146,136,166
178,151,205,155,153,158
215,148,191,154,149,143
195,160,202,150,151,142
204,153,200,143,157,143
206,159,190,146,150,149
194,166,195,140,153,152
188,150,204,157,146,155
191,146,202,152,145,164
209,136,194,147,152,162
205,134,191,142,168,160
239,147,202,131,141,140
223,152,206,135,144,140
231,141,203,135,147,143
208,129,193,156,157,157
207,125,189,157,160,162
206,119,186,163,154,172
191,129,192,163,159,166
211,131,188,152,155,163
192,135,186,165,166,156
188,129,186,160,172,165
181,148,179,163,164,165
171,151,186,161,163,168
172,147,185,172,160,164
192,137,186,164,158,163
174,136,195,171,167,157
190,148,182,157,163,160
215,142,192,144,154,153
209,165,205,141,138,142
210,166,201,152,127,144
193,158,202,154,139,154
183,170,195,156,133,163
181,160,195,164,145,155
193,156,193,165,146,147
180,146,193,171,159,151
181,142,196,166,162,153
168,155,198,173,145,161
168,150,196,172,160,154
190,150,192,163,154,151
164,162,213,160,155,146
180,142,204,163,157,154
172,137,205,172,163,151
176,138,203,169,159,155
167,149,197,173,165,149
175,148,205,164,158,150
168,156,202,160,164,150
165,154,207,164,169,141
190,142,200,158,161,149
197,153,205,155,153,137
169,147,211,162,156,155
167,136,210,157,163,167
186,113,217,158,168,158
194,124,213,152,157,160
208,118,204,150,163,157
212,115,214,139,167,153
175,145,220,145,166,149
170,159,210,153,151,157
183,162,202,151,147,155
187,163,202,135,143,170
177,164,199,145,145,170
178,162,200,139,152,169
165,155,196,161,159,164
179,158,196,159,148,160
190,160,204,146,142,158
185,173,200,138,143,161
176,178,217,129,142,158
167,178,218,129,150,158
179,182,217,128,137,157
175,180,215,134,138,158
166,179,221,139,134,161
153,181,213,141,147,165
164,185,216,133,132,170
158,182,216,142,134,168
160,180,221,142,131,166
163,175,217,140,135,170
166,176,217,133,141,167
146,182,219,140,141,172
160,175,215,145,140,165
173,174,214,137,139,163
160,174,217,140,144,165
175,171,215,138,137,164
170,174,216,136,138,166
161,172,214,138,140,175
185,159,216,133,149,158
183,173,215,136,135,158
