drop
0.5035035035035035
0.097
0.086
0.066
0.043
0.038
0.038
0.043
0.052
0.048
0.076
0.04
0.043
0.043
0.052
0.046
0.044
0.051
0.04
0.054
0.047
0.06
0.041
0.046
0.037
0.066
0.063
0.067
0.049
0.093
0.047
0.056
0.056
0.049
0.046
0.045
0.057
0.068
0.057
0.038
0.038
0.042
0.075
0.12
0.059
0.067
0.06
0.058
0.046
0.063
0.078
0.056
0.062
0.086
0.051
0.067
0.066
0.052
0.051
0.071
0.055
0.056
0.066
0.068
0.055
0.07
0.082
0.043
0.048
0.031
0.056
0.055
0.063
0.05
0.061
0.044
0.04
0.043
0.051
0.085
0.055
0.048
0.051
0.047
0.04
0.05
0.075
0.066
0.068
0.045
0.038
0.048
0.03
0.041
0.04
0.04
0.04
0.027
0.032
0.046
