server,bus1,bus2,bus3,bus4,bus5
257,150,208,83,92,210
238,102,221,391,32,16
240,48,55,7,329,321
497,328,88,7,20,60
467,103,119,181,35,95
495,146,101,54,155,49
434,186,59,93,103,125
479,155,157,37,119,53
558,90,240,20,79,13
524,17,211,59,91,98
510,132,129,40,67,122
536,150,52,55,77,130
514,75,149,52,107,103
551,14,215,46,50,124
495,15,221,54,82,133
507,12,212,24,81,164
532,57,149,63,65,134
518,88,200,120,16,58
522,86,204,88,39,61
516,118,195,89,19,63
511,69,182,118,21,99
499,105,187,98,67,44
509,117,187,118,37,32
520,49,169,132,108,22
530,38,181,146,69,36
509,16,190,162,23,100
497,23,184,149,46,101
532,83,152,107,38,88
530,64,163,98,70,75
525,97,149,99,63,67
522,83,165,103,51,76
519,78,158,119,18,108
522,60,122,141,32,123
515,68,127,135,46,109
522,60,140,130,37,111
500,69,198,133,58,42
531,87,171,138,38,35
528,93,182,126,29,42
517,100,154,99,46,84
534,77,100,110,111,68
499,86,141,159,52,63
536,103,156,148,34,23
525,62,165,142,90,16
540,43,166,137,81,33
531,61,174,93,71,70
517,22,187,101,77,96
532,28,184,150,61,45
529,19,185,146,82,39
525,43,187,114,50,81
520,54,175,107,65,79
526,35,160,94,66,119
530,32,138,108,52,140
539,31,145,97,67,121
530,93,145,92,29,111
535,62,150,106,17,130
515,92,163,98,35,97
528,71,144,124,25,108
505,87,149,115,24,120
522,83,158,95,26,116
526,99,136,87,44,108
519,72,152,105,60,92
540,98,154,100,67,41
495,92,164,106,40,103
492,101,179,101,68,59
524,66,173,111,55,71
508,61,160,124,83,64
529,45,139,137,70,80
525,82,130,133,69,61
499,98,149,141,51,62
492,106,162,138,45,57
520,93,152,113,23,99
527,39,198,99,34,103
482,90,185,101,49,93
486,122,160,86,56,90
525,92,169,85,35,94
531,117,123,80,46,103
526,140,121,113,30,70
501,147,143,119,30,60
486,140,114,136,82,42
495,102,160,111,69,63
548,78,214,62,23,75
547,74,194,77,32,76
550,70,205,69,31,75
542,97,203,49,39,70
555,108,191,59,22,65
553,99,196,66,21,65
553,91,184,50,42,80
549,104,199,41,38,69
549,104,199,39,41,68
523,127,180,78,23,69
545,116,143,85,50,61
549,110,179,65,33,64
535,118,200,59,18,70
537,116,187,64,29,67
535,132,192,60,25,56
531,109,166,91,40,63
533,115,153,88,47,64
555,78,150,84,63,70
543,78,102,139,80,58
528,96,185,66,64,61
