server,bus1,bus2,bus3,bus4,bus5
373,134,117,119,130,127
367,125,134,121,120,133
365,125,130,131,143,106
368,129,131,136,138,98
389,132,133,117,116,113
352,125,135,130,114,144
375,142,116,110,127,130
347,131,132,140,129,121
380,136,111,128,118,127
381,130,110,129,131,119
381,119,127,131,119,123
376,118,126,115,126,139
375,128,128,123,140,106
399,108,117,116,125,135
399,114,117,110,132,128
341,139,121,139,127,133
351,140,107,132,132,138
385,124,112,123,139,117
357,121,137,141,110,134
386,110,133,123,130,118
379,136,126,117,128,114
363,120,130,136,125,126
372,123,124,130,127,124
362,135,143,115,113,132
356,131,131,140,119,123
377,135,136,124,107,121
385,120,107,119,122,147
395,101,129,141,113,121
385,112,135,123,119,126
401,123,114,123,125,114
356,153,140,123,123,105
375,129,125,118,120,133
379,131,138,126,108,118
374,137,136,120,112,121
370,118,124,125,131,132
379,124,131,123,130,113
378,113,128,136,131,114
357,130,115,151,122,125
360,123,137,125,124,131
379,131,106,119,136,129
369,129,137,98,114,153
388,118,138,130,114,112
365,131,129,157,104,114
367,116,113,133,130,141
376,128,118,111,157,110
376,124,130,108,141,121
359,128,147,111,133,122
369,122,120,123,133,133
377,115,130,141,118,119
381,126,125,123,133,112
393,132,129,122,118,106
373,126,123,108,115,155
386,125,128,122,117,122
368,145,115,122,113,137
373,112,139,114,133,129
358,126,134,126,134,122
375,122,134,122,133,114
379,117,141,121,119,123
388,105,116,136,130,125
372,133,118,125,139,113
357,116,134,126,138,129
352,120,138,132,134,124
363,119,146,139,131,102
374,102,146,131,131,116
369,153,123,128,98,129
376,129,131,129,115,120
389,135,118,122,121,115
368,115,138,111,125,143
347,131,142,108,134,138
378,126,130,126,120,120
365,118,135,115,131,136
355,124,136,112,125,148
356,137,120,140,114,133
369,119,135,113,129,135
382,114,138,111,119,136
389,126,120,121,124,120
376,125,126,118,135,120
372,126,139,125,124,114
375,127,131,119,132,116
352,138,128,128,120,134
384,135,101,139,123,118
384,123,120,121,129,123
378,127,106,133,142,114
382,124,107,116,130,141
391,133,106,116,127,127
389,138,93,129,122,129
378,122,121,125,127,127
373,118,124,150,106,129
381,131,119,126,121,122
375,118,103,138,144,122
359,122,125,130,132,132
393,118,117,120,130,122
381,118,112,124,132,133
365,130,142,115,130,118
364,126,120,142,122,126
362,134,112,127,144,121
393,112,138,120,118,119
374,125,129,117,123,132
408,116,134,119,121,102
360,127,107,158,120,128
