reward,reward_accumulate
-88.25424624624624,-88.25424624624624
-16.650551775887955,-60.75560030015014
-7.320507169056358,-47.81748782927646
-7.810666166541619,-43.670792698174644
-4.981278255651124,-39.91616523304663
-3.3029924987497887,-36.56535455909314
-2.8575809401343015,-34.19856708101151
-2.548332541567693,-32.47154431803969
-2.7559923324813878,-31.619186354039293
-1.941341434143415,-30.39829292929286
-3.2123684880443646,-30.84692899354479
-3.6998109842486873,-31.97594832902731
-2.7154327255942747,-32.2315035002691
-1.5187704836059717,-31.447859275662413
-1.5275517701180021,-30.878747316487676
-1.9295060941308806,-30.878211075692153
-1.4283702570739474,-30.49010912406602
-1.4637651536196419,-30.25988521584532
-1.3268980472656429,-29.994073898626215
-1.1341284564228196,-29.62842367118356
-1.3208918996142678,-29.53837106528889
-0.959648529478612,-29.155305332060593
-1.2330219574764103,-29.120650202182766
-1.0314264344347677,-28.938665652735526
-1.0040610024400958,-28.785133725349002
-1.0253173968229548,-28.70328801107734
-1.119544834993886,-28.75970872995296
-0.8556423443694416,-28.588181935069116
-0.7777237146108474,-28.380072278354415
-0.6209341644721498,-28.054972499083288
-0.7671812316526326,-27.917125423400762
-0.5839606862714447,-27.628648676521145
-0.7499728476620499,-27.541364374677986
-0.5348084061295908,-27.266108826730168
-0.8590884025257851,-27.34614328980824
-0.7720276396566569,-27.358534737076003
-0.5283392253844686,-27.147434119841055
-0.5252897444669594,-26.958298902602674
-0.8038950229493053,-27.070937767635094
-0.49379824495612396,-26.88794564864128
-0.36596485280128804,-26.598090953437964
-0.47473573180313844,-26.439523726755493
-0.6017562036326431,-26.426392985883524
-0.6324807381985944,-26.45826023318731
-0.37640852018933757,-26.246694348763526
-0.393335442074827,-26.06943707471926
-0.3324687333773054,-25.847225132449946
-0.5048007875164052,-25.813530844392933
-0.39916541153901075,-25.685878752627946
-0.48948116962339167,-25.661632072641797
-0.39639973332810385,-25.554852683386336
-0.48980545779726464,-25.553209215562315
-0.4902843827242017,-25.561348478273615
-0.6064620085557142,-25.69444341561926
-0.434754595538099,-25.66201781850624
-0.41134468472651187,-25.615104001857645
-0.3852037404164979,-25.550912068633306
-0.27879970344316274,-25.389171209848993
-0.302828895405007,-25.2616678757273
-0.32070547842463903,-25.161338538976302
-0.333700732798898,-25.08255155002606
-0.29643979741608756,-24.974427539154547
-0.36117954253242024,-24.939181304465833
-0.3479198112470493,-24.89742031906821
-0.33510384775150326,-24.849481038170545
-0.2872655343262772,-24.76023357929742
-0.34563421842116965,-24.736306556815006
-0.31773826085677614,-24.69027025397507
-0.32564608182727195,-24.658081146104294
-0.24770956727953233,-24.55352737896331
-0.28449006324032716,-24.492188242088677
-0.27001788913734853,-24.422032125446947
-0.34790164248825234,-24.435380799737743
-0.2873428154434514,-24.392511304207606
-0.2528215576207682,-24.320095041268022
-0.21269129856971805,-24.212780878696552
-0.19620415849556516,-24.094529253627464
-0.2557842792856311,-24.041405351351475
-0.2720500639248589,-24.009129976329618
-0.3160456130701634,-24.025057713222218
-0.19275645378338016,-23.92120485438176
-0.20138740716350229,-23.830866693497107
-0.16463567030928097,-23.70838002867591
-0.19956562578125905,-23.625699674997033
-0.14842585206884812,-23.49617284909323
-0.14451695949952942,-23.36747531948134
-0.2047372268646768,-23.30361778871111
-0.19447134626529847,-23.233272287185997
-0.2076333779031225,-23.179854728705752
-0.18663100701118934,-23.10892893254464
-0.19106158309431956,-23.046043451027884
-0.17068850748377695,-22.96622876335705
-0.1327874815858238,-22.85206489317179
-0.1778316790604159,-22.78678691262757
-0.16578990305161118,-22.712713375931134
-0.1821260950634903,-22.658246242149207
-0.1687256157279972,-22.593379282261434
-0.18685473321156318,-22.549686976398437
-0.20742241840826614,-22.529332478106554
-0.18376571765717634,-22.487802618026798
