server,bus1,bus2,bus3
537,142,174,147
532,116,204,148
524,137,197,142
504,137,199,160
510,134,196,160
522,138,189,151
522,151,180,147
518,139,190,153
515,128,201,156
506,139,197,158
517,133,196,154
514,150,189,147
524,148,180,148
527,146,184,143
521,149,188,142
496,162,195,147
510,166,175,149
497,173,182,148
530,164,171,135
515,162,181,142
528,160,166,146
520,168,165,147
496,172,191,141
524,169,170,137
511,171,188,130
520,168,174,138
506,166,179,149
512,175,169,144
502,176,175,147
507,165,178,150
512,171,170,147
503,175,166,156
500,174,168,158
483,174,178,165
498,166,182,154
507,165,168,160
509,167,169,155
502,163,179,156
496,163,181,160
513,165,161,161
518,165,153,164
493,167,178,162
506,163,175,156
510,168,174,148
517,171,157,155
500,164,186,150
533,164,169,134
517,166,184,133
513,171,179,137
509,168,172,151
507,175,165,153
502,174,172,152
508,175,169,148
504,170,183,143
498,169,184,149
508,172,177,143
510,175,167,148
506,178,169,147
502,172,179,147
515,170,180,135
514,173,179,134
518,169,174,139
504,166,189,141
494,161,202,143
537,165,161,137
533,158,162,147
529,152,174,145
538,163,155,144
528,161,165,146
532,158,162,148
525,163,150,162
532,166,145,157
525,169,147,159
488,175,175,162
515,172,159,154
505,170,166,159
514,172,166,148
500,171,184,145
513,161,185,141
511,162,190,137
532,171,158,139
535,160,180,125
526,167,174,133
519,168,170,143
526,164,167,143
528,172,154,146
517,167,174,142
528,171,155,146
507,161,187,145
523,168,169,140
526,163,179,132
535,168,162,135
525,165,165,145
509,168,179,144
520,166,163,151
505,170,184,141
524,163,182,131
526,166,177,131
524,163,175,138
520,163,188,129
