server,bus1,bus2,bus3,bus4,bus5
456,128,117,93,86,120
546,131,158,126,12,27
520,104,125,110,86,55
467,119,121,94,114,85
467,119,135,115,39,125
466,128,139,104,47,116
441,132,128,118,67,114
438,144,145,116,25,132
451,129,120,108,61,131
425,127,106,118,94,130
401,124,122,108,108,137
421,132,142,113,74,118
382,134,133,108,120,123
385,137,124,104,129,121
407,145,100,95,134,119
423,137,67,108,133,132
424,130,81,107,118,140
426,128,112,92,118,124
400,136,119,107,110,128
393,140,117,122,98,130
411,141,128,117,71,132
418,139,122,121,70,130
422,130,119,112,83,134
448,126,105,104,98,119
463,107,112,82,111,125
485,112,106,66,106,125
507,125,91,65,99,113
521,112,102,50,102,113
488,111,94,78,110,119
467,108,84,106,111,124
443,113,85,127,105,127
466,104,72,126,105,127
472,93,75,113,122,125
475,96,89,110,124,106
485,101,81,131,96,106
512,98,70,124,102,94
507,91,81,124,103,94
510,89,64,129,102,106
485,92,62,126,123,112
491,91,63,115,133,107
494,89,58,117,133,109
492,96,71,111,132,98
468,87,124,114,107,100
474,106,117,118,100,85
491,96,141,109,81,82
472,77,157,119,83,92
497,85,176,99,70,73
468,106,156,116,69,85
488,87,118,117,111,79
473,72,137,122,134,62
473,90,145,109,98,85
459,74,119,116,91,141
420,66,132,133,115,134
398,80,161,134,108,119
442,61,180,99,101,117
443,72,188,100,80,117
471,105,157,68,100,99
471,125,119,90,106,89
427,59,146,107,131,130
426,71,144,112,120,127
462,70,127,112,117,112
445,70,151,93,118,123
443,77,153,95,94,138
431,137,135,113,63,121
426,94,142,118,86,134
484,90,98,130,74,124
454,92,128,136,90,100
438,87,150,127,93,105
467,80,122,110,120,101
467,57,153,103,131,89
474,71,153,108,107,87
484,77,165,111,95,68
477,77,157,112,94,83
457,84,164,133,79,83
489,97,138,119,71,86
486,125,100,128,68,93
491,138,111,125,44,91
490,139,107,130,45,89
506,126,98,118,63,89
468,101,128,119,83,101
516,26,206,102,42,108
526,31,203,101,38,101
512,33,206,98,41,110
512,27,199,114,38,110
528,23,195,110,37,107
521,20,207,108,32,112
523,33,195,108,39,102
513,30,207,106,38,106
524,37,194,104,39,102
537,70,157,110,35,91
535,60,165,101,46,93
538,33,192,104,38,95
527,46,187,112,34,94
516,52,187,108,39,98
535,66,170,107,36,86
532,71,150,114,40,93
536,81,145,108,40,90
544,84,139,111,37,85
539,57,164,112,44,84
536,60,167,99,47,91
