server,bus1,bus2,bus3,bus4,bus5,bus6
353,120,177,93,121,60,76
526,140,42,111,93,61,27
430,11,175,86,135,79,84
315,13,217,69,140,150,96
331,26,205,79,130,138,91
339,71,192,85,104,97,112
283,138,201,128,105,36,109
287,128,192,131,134,37,91
302,74,202,130,145,87,60
314,51,217,133,136,137,12
333,82,213,121,120,114,17
349,56,210,101,83,109,92
358,117,214,101,115,73,22
288,155,213,118,156,35,35
232,163,211,131,154,36,73
238,139,208,150,99,40,126
260,161,215,117,72,36,139
213,126,212,130,64,104,151
181,155,214,140,69,103,138
216,176,217,136,77,46,132
146,161,210,146,125,75,137
165,151,214,141,107,82,140
184,162,201,139,128,45,141
162,152,209,139,125,80,133
112,138,203,141,144,118,144
161,145,205,142,126,89,132
225,142,215,106,89,81,142
203,158,210,117,101,67,144
166,157,205,126,119,82,145
164,170,199,139,131,58,139
103,170,213,131,137,112,134
102,160,208,139,148,111,132
138,159,207,128,150,96,122
121,159,200,136,136,110,138
93,165,214,121,136,129,142
112,169,207,133,137,93,149
110,168,211,133,125,111,142
111,168,216,130,126,108,141
121,156,211,136,145,106,125
105,169,208,126,154,115,123
83,160,214,123,157,123,140
94,175,214,122,152,114,129
107,169,205,134,145,102,138
142,167,212,127,122,90,140
132,161,204,137,130,95,141
106,160,197,138,133,115,151
110,152,199,147,129,114,149
108,148,192,139,137,122,154
99,162,201,134,132,119,153
113,161,187,131,142,124,142
106,160,184,136,145,129,140
107,167,178,146,143,127,132
99,163,183,154,131,133,137
128,157,193,143,127,103,149
110,156,199,148,132,118,137
95,156,197,148,136,133,135
81,143,205,156,127,147,141
86,157,192,148,128,154,135
94,152,199,146,123,142,144
129,155,195,143,141,105,132
103,157,189,143,131,128,149
113,168,202,139,133,111,134
114,154,185,131,153,130,133
120,163,187,144,142,116,128
105,143,177,150,147,133,145
89,135,195,149,152,136,144
107,117,184,138,163,140,151
109,134,201,137,152,128,139
135,126,199,147,135,135,123
107,118,209,146,144,138,138
98,144,210,164,139,120,125
101,137,203,147,134,134,144
126,160,184,139,133,118,140
99,168,190,139,130,139,135
88,167,169,149,155,136,136
90,168,191,143,133,142,133
81,161,196,146,143,146,127
100,158,190,148,139,137,128
89,157,200,147,135,149,123
123,153,203,148,147,99,127
127,141,212,145,157,91,127
126,138,210,143,155,100,128
138,144,213,148,153,69,135
123,146,210,151,161,88,121
107,144,215,158,164,87,125
122,150,214,157,156,67,134
128,135,217,165,155,69,131
114,148,211,162,158,70,137
114,149,214,161,152,67,143
99,135,209,147,168,123,119
97,129,217,156,167,126,108
84,144,217,160,167,111,117
88,147,209,161,166,103,126
105,140,214,151,165,111,114
96,140,213,161,163,117,110
110,133,205,153,159,127,113
88,130,209,147,173,140,113
86,142,210,143,173,147,99
110,131,202,141,166,130,120
113,135,210,154,159,104,125
