drop
0.24824824824824826
0.22
0.247
0.283
0.18
0.226
0.233
0.237
0.227
0.214
0.25
0.275
0.23
0.206
0.171
0.265
0.268
0.221
0.208
0.241
0.272
0.221
0.234
0.235
0.279
0.203
0.293
0.237
0.21
0.188
0.246
0.235
0.207
0.213
0.211
0.214
0.235
0.248
0.173
0.209
0.198
0.189
0.259
0.292
0.236
0.197
0.227
0.216
0.245
0.224
0.235
0.28
0.173
0.244
0.216
0.241
0.199
0.181
0.256
0.236
0.218
0.225
0.262
0.238
0.238
0.207
0.265
0.201
0.257
0.218
0.243
0.262
0.237
0.259
0.246
0.204
0.225
0.227
0.237
0.294
0.214
0.25
0.255
0.226
0.216
0.235
0.221
0.239
0.24
0.253
0.239
0.202
0.223
0.257
0.209
0.254
0.224
0.193
0.218
0.313
