reward,reward_accumulate
0.55655655655655660.5565565565565566
0.466233116558279150.7443721860930466
0.31977325775258420.8159386462154051
0.240310077519379860.8522130532633159
0.19123824764952990.8729745949189838
0.162360393398899820.8898149691615269
0.135876553793399050.8985569367052436
0.118264783097887240.9044880610076259
0.106456272919213250.9104344927214135
0.094409440944094410.9137913791379138
0.08655332302936630.9172652059278116
0.0785065422118510.9193266105508793
0.07508269866912840.923686437418263
0.069433530966497610.9271376526894778
0.065137675845056340.9304620308020535
0.060566285392837050.9328708044252766
0.0562974292605447350.9342902523677863
0.052169564975831990.9345519195510862
0.0508974156534554440.9362598031475341
0.0478023901195059750.9372468623431172
0.0456212200580980.938235154054955
0.043683803809264060.9392699668166735
0.042523587982086180.9409539545197617
0.040418350764615190.9421642568440352
0.038361534461378450.9428377135085403
0.036616792953575140.9431901226970268
0.0349272195266491360.9431830808548465
0.034394085503053680.9438908532447587
0.033277009552053520.9446187799579295
0.031034367812260410.9441648054935164
0.0313881092938481860.945095003064615
0.0303446982718209960.9459045595174849
0.0294554380435770760.9466953544046789
0.02776552251536810.9466160769434395
0.0276007885939598270.9471699191405468
0.0271951998666629630.9480541126142393
0.0242168707262358440.9466472066812617
0.0154214584594331430.9371562409537093
0.0238980486679145620.9370240262570835
0.0085752143803595090.9221730543263582
0.0099758530695870630.9096563330812947
0.0085954427486368730.8965927760184766
0.0096746435963627060.8854159399055792
0.0117729948407918360.8770653878497239
0.013111402475610570.8706860152447832
0.011043718341703080.8628013652470706
0.0119577012276856960.8564012000255324
0.0114377382862142960.8499968749348945
0.0110614502336782390.8437110961448193
0.0116202324046480920.8384567691353827
0.0094315574815192450.8314476754446165
0.0080578472662935830.8235158368430162
0.0096228230721334370.8176003320817374
0.0086112705790847980.8110705753810256
0.0067637593410789280.8030873288605247
0.0060536795299916070.794799907141199
0.0110352813207249250.791891085808523
0.0119139985172158140.7901515543371438
0.015322293598196580.7920812217156223
0.0137168952815880270.7925965432757213
0.0152133641535107130.7948163084640731
0.0151131469862417140.7971096308004968
0.013952602422260670.7984094985634692
0.0134533352083626310.7993874904295379
0.0143848366897952280.8014738688287512
0.0142123365505537960.803542477916332
0.0131942267795041710.8047433543784236
0.0136913778143796240.8066000970602509
0.0134059913911795830.8083160625516311
0.0134859069415277370.8102544322061743
0.0132959619149565480.8121381991295652
0.0129862914762705040.8138446367310657
0.0126851052754147310.8153810326168852
0.0126353058825119260.8169975269936081
0.012506833424445660.8186109148121975
0.0125001644758483670.8203397413123857
0.0123637969324276940.8220496370082728
0.0121924640059487940.823702867985487
0.0119621767364143860.8252382941556222
0.011550144376804710.8264728309103864
0.0117655773528068250.828034914011284
0.0115977024110050130.8295345065183721
0.0112049542765575490.8307449487343221
0.0109882260503101230.8318432362290027
0.0113413098977635030.833398039976941
0.0110233839928371260.8347306364027489
0.0106323061184611310.8357682272210025
0.0107614859259764320.837032239002716
0.0102248339868987290.837852110697873
0.0104445604951166130.8389870998566651
0.0104067077660194070.8401740678468994
0.0104892444483092210.8415308862052848
0.0103226916418456120.8428047613415198
0.0098830838625942830.8437217417206566
0.0099579995578900830.8447983662985926
0.0097292680132084720.8457275596620798
0.0099588655553150030.8469674945102527
0.0095613220543066760.8478862029204379
0.0096061576379559390.8489277669471409
0.009370093700937010.8498084980849808
