somay,distance,may0,may1,may2,may3,reward
1,0.2008587899892413,0.0,0.5981861633203858,0.0,0.0,1
1,0.2008587899892413,0.0,1.0991861633203857,0.0,0.0,1
0,0,0.16733333333333333,1.0991861633203857,0.0,0.0,1
1,0.2008587899892413,0.16733333333333333,1.6021861633203858,0.0,0.0,1
1,0.43682415819079257,0.0,1.1051861633203859,0.0,0.0,1
1,0.43682415819079257,0.0,1.611186163320386,0.0,0.0,1
0,0,0.16866666666666666,1.611186163320386,0.0,0.0,1
1,0.43682415819079257,0.16866666666666666,2.120186163320386,0.0,0.0,1
1,0.43457686896982534,0.0,1.630186163320386,0.0,0.0,1
1,0.43457686896982534,0.0,2.141186163320386,0.0,0.0,1
1,0.43457686896982534,0.0,2.653186163320386,0.0,0.0,1
1,0.43457686896982534,0.0,3.165186163320386,0.0,0.0,1
1,0.43457686896982534,0.0,3.677186163320386,0.0,0.0,1
1,0.43457686896982534,0.0,4.1931861633203855,0.0,0.0,1
1,0.43457686896982534,0.0,4.7091861633203855,0.0,0.0,1
1,0.4323295797488582,0.0,4.2251861633203855,0.0,0.0,1
1,0.4323295797488582,0.0,4.742186163320386,0.0,0.0,1
1,0.4323295797488582,0.0,5.259186163320386,0.0,0.0,1
1,0.43008229052789104,0.0,4.778186163320386,0.0,0.0,1
1,0.43008229052789104,0.0,5.298186163320386,0.0,0.0,1
1,0.43008229052789104,0.0,5.819186163320386,0.0,0.0,1
1,0.4278350013069239,0.0,5.340186163320386,0.0,0.0,1
0,0,0.17366666666666666,5.340186163320386,0.0,0.0,1
0,0,0.174,4.340186163320386,0.0,0.0,1
0,0,0.34833333333333333,4.340186163320386,0.0,0.0,1
0,0,0.5233333333333333,4.340186163320386,0.0,0.0,1
0,0,0.175,3.3401861633203858,0.0,0.0,1
0,0,0.3506666666666667,3.3401861633203858,0.0,0.0,1
0,0,0.5263333333333333,3.3401861633203858,0.0,0.0,1
0,0,0.7023333333333333,3.3401861633203858,0.0,0.0,1
0,0,0.8783333333333332,3.3401861633203858,0.0,0.0,1
0,0,0.17666666666666667,2.3401861633203858,0.0,0.0,1
0,0,0.35333333333333333,2.3401861633203858,0.0,0.0,1
3,0.46067716907866013,0.35333333333333333,2.3401861633203858,0.0,0.7677546651120478,1
0,0,0.5306666666666666,2.3401861633203858,0.0,0.7677546651120478,1
1,0.4188458444230553,0.0,1.8731861633203857,0.0,0.0,1
0,0,0.179,1.8731861633203857,0.0,0.0,1
0,0,0.17933333333333334,0.8731861633203857,0.0,0.0,1
0,0,0.3586666666666667,0.8731861633203857,0.0,0.0,1
0,0,0.5383333333333333,0.8731861633203857,0.0,0.0,1
1,0.41659855520208816,0.5383333333333333,1.4121861633203858,0.0,0.0,1
1,0.41659855520208816,0.5383333333333333,1.9521861633203859,0.0,0.0,1
1,0.41435126598112093,0.0,1.492186163320386,0.0,0.0,1
1,0.41435126598112093,0.0,2.032186163320386,0.0,0.0,1
1,0.41435126598112093,0.0,2.572186163320386,0.0,0.0,1
