server,bus1,bus2,bus3,bus4,bus5
277,171,70,164,132,186
365,171,84,157,85,138
186,178,198,188,88,162
226,112,162,180,148,172
165,165,187,203,87,193
229,146,162,155,155,153
395,131,67,173,58,176
385,114,58,136,146,161
403,138,54,117,110,178
418,180,15,109,103,175
294,149,113,143,148,153
376,181,69,149,59,166
349,130,104,134,132,151
363,134,88,134,133,148
306,168,106,136,119,165
387,148,81,148,99,137
302,126,85,163,168,156
453,144,36,169,31,167
382,152,93,143,70,160
365,154,72,186,67,156
409,146,60,106,111,168
375,158,34,111,152,170
504,118,37,82,121,138
435,149,12,152,109,143
424,130,62,153,59,172
306,132,121,175,133,133
497,81,44,77,143,158
488,113,40,92,110,157
458,146,39,105,102,150
442,158,42,162,38,158
367,167,78,202,24,162
365,179,64,144,68,180
137,145,34,19,518,147
411,127,105,99,180,78
340,137,129,191,52,151
528,153,51,183,19,66
419,166,74,146,20,175
399,129,139,154,15,164
424,127,78,142,60,169
286,119,97,147,181,170
378,151,51,161,77,182
472,113,36,159,68,152
346,125,50,255,104,120
338,152,117,111,138,144
418,149,72,121,81,159
304,151,133,97,138,177
337,153,68,62,198,182
425,155,39,110,93,178
489,149,25,99,70,168
419,148,48,103,124,158
457,177,26,96,80,164
376,143,96,111,113,161
318,28,78,129,313,134
514,89,32,151,81,133
349,118,39,246,82,166
359,155,11,249,49,177
323,165,106,120,108,178
174,152,147,142,200,185
310,128,96,120,168,178
414,130,47,95,146,168
415,148,90,99,77,171
480,162,31,90,74,163
491,159,16,98,79,157
422,152,77,54,145,150
439,153,92,30,120,166
494,151,53,31,114,157
480,145,37,29,147,162
507,144,27,61,94,167
477,112,57,74,114,166
460,99,78,70,123,170
439,99,78,66,164,154
514,152,36,41,115,142
459,150,28,60,174,129
454,159,38,81,101,167
484,145,38,68,107,158
456,122,75,25,158,164
247,133,32,64,374,150
396,95,36,69,255,149
443,87,21,170,172,107
351,104,102,142,153,148
350,106,169,233,0,142
464,20,187,171,0,158
465,0,221,176,0,138
470,0,231,164,0,135
465,0,253,173,0,109
487,0,220,176,0,117
489,0,235,177,0,99
487,0,217,182,0,114
479,0,226,186,0,109
494,0,214,169,0,123
492,0,223,164,0,121
484,0,215,183,0,118
470,0,220,191,0,119
484,0,227,176,0,113
492,0,222,175,0,111
482,0,222,179,0,117
478,0,226,180,0,116
485,1,216,172,0,126
507,5,162,168,1,157
485,2,185,193,0,135
