drop
0.7267267267267268
0.179
0.049
0.038
0.02
0.025
0.032
0.004
0.004
0.011
0.006
0.008
0.008
0.001
0.007
0.005
0.018
0.013
0.004
0.01
0.012
0.016
0.011
0.02
0.005
0.015
0.01
0.024
0.008
0.012
0.017
0.024
0.017
0.018
0.009
0.011
0.021
0.011
0.018
0.02
0.027
0.018
0.029
0.042
0.032
0.016
0.026
0.022
0.025
0.026
0.034
0.024
0.025
0.035
0.022
0.021
0.019
0.028
0.017
0.02
0.028
0.029
0.027
0.029
0.037
0.033
0.028
0.031
0.032
0.025
0.028
0.035
0.02
0.022
0.022
0.023
0.021
0.023
0.035
0.031
0.017
0.005
0.019
0.023
0.001
0.001
0.003
0.0
0.001
0.003
0.001
0.004
0.003
0.002
0.0
0.002
0.002
0.001
0.004
0.006
