server,bus1,bus2,bus3,bus4,bus5,bus6,bus7
370,95,120,93,137,63,79,43
478,85,84,97,90,59,60,47
507,70,101,29,129,25,104,35
479,82,111,17,123,69,101,18
476,93,124,29,112,86,58,22
468,75,127,21,96,100,58,55
480,77,129,22,74,112,45,61
451,70,60,101,86,86,80,66
403,84,75,97,102,86,108,45
362,74,109,95,101,83,112,64
390,87,129,65,83,105,93,48
344,118,110,115,82,96,89,46
304,120,136,103,106,118,85,28
215,131,111,119,113,124,101,86
233,134,119,110,123,115,117,49
196,131,115,100,126,128,114,90
143,128,127,125,129,140,106,102
204,133,125,115,127,117,81,98
186,111,122,124,112,125,103,117
201,89,134,82,119,130,131,114
263,109,120,69,119,118,105,97
139,132,109,116,126,122,123,133
121,122,144,134,135,105,139,100
118,112,174,134,137,96,131,98
229,113,114,128,123,95,74,124
213,126,111,123,112,112,81,122
212,96,170,91,111,100,95,125
159,109,180,92,111,109,106,134
148,130,184,104,105,106,102,121
115,128,190,121,124,98,99,125
120,136,172,120,132,82,110,128
94,130,165,148,155,90,111,107
92,116,183,156,131,105,115,102
131,124,169,129,147,93,105,102
108,137,185,132,149,90,91,108
98,139,175,138,142,96,97,115
118,129,176,122,130,95,111,119
120,134,179,127,135,86,101,118
110,148,156,136,150,95,93,112
109,149,149,136,152,100,95,110
82,159,135,137,160,87,113,127
86,140,159,103,153,104,114,141
106,138,188,105,104,109,118,132
129,134,192,96,104,101,127,117
102,149,196,88,108,113,121,123
85,140,188,99,128,103,115,142
77,122,204,126,110,113,108,140
76,132,211,121,113,105,113,129
95,136,197,130,99,98,116,129
78,134,185,140,97,122,108,136
87,125,178,137,91,121,123,138
70,121,175,126,103,129,127,149
68,117,185,126,121,127,117,139
68,144,203,125,104,116,109,131
59,132,191,133,105,123,125,132
49,120,181,121,114,133,133,149
65,123,163,115,121,146,126,141
52,125,154,136,116,144,139,134
79,129,178,98,113,140,131,132
96,135,170,110,103,126,124,136
74,131,189,120,110,111,130,135
81,134,169,141,91,146,109,129
90,138,156,140,84,143,120,129
73,134,169,116,114,136,132,126
54,124,183,139,119,151,103,127
63,104,178,128,116,151,130,130
73,110,174,123,121,150,130,119
67,110,174,141,119,155,118,116
75,87,166,148,121,157,118,128
63,98,175,139,118,151,135,121
67,112,176,101,130,146,140,128
53,118,190,111,122,146,136,124
80,141,183,90,134,137,123,112
59,133,170,121,140,133,133,111
46,142,170,118,143,133,127,121
62,128,174,104,137,135,144,116
63,126,150,130,152,134,131,114
59,120,174,149,134,122,125,117
56,115,152,137,139,123,141,137
76,121,174,102,127,118,137,145
31,121,192,136,125,85,142,168
36,136,196,130,123,94,136,149
44,116,197,135,123,85,131,169
41,105,179,149,129,91,136,170
48,121,180,136,129,102,133,151
52,118,184,145,125,98,120,158
85,128,204,127,113,84,114,145
67,133,198,132,114,92,114,150
83,141,187,125,115,94,120,135
72,108,158,141,136,115,131,139
59,113,164,146,126,115,137,140
45,112,176,144,125,107,136,155
46,110,155,143,142,111,136,157
81,118,171,133,135,107,132,123
60,124,179,137,135,117,128,120
79,119,163,129,138,112,140,120
72,108,157,140,139,112,132,140
69,95,168,135,134,116,144,139
71,104,168,142,130,113,137,135
68,114,154,134,130,116,140,144
