server,bus1,bus2,bus3
508,165,193,134
495,169,174,162
542,107,201,150
543,127,187,143
515,146,202,137
531,152,203,114
528,146,208,118
537,139,214,110
536,129,208,127
536,132,215,117
521,131,208,140
526,131,187,156
539,155,190,116
536,132,190,142
533,148,190,129
530,136,191,143
543,137,197,123
535,124,199,142
546,142,195,117
536,107,197,160
371,147,78,404
553,141,151,155
535,125,208,132
534,118,221,127
535,127,211,127
545,132,207,116
546,49,282,123
551,126,150,173
536,135,190,139
527,130,194,149
533,132,189,146
521,130,187,162
516,137,187,160
516,137,186,161
514,121,209,156
530,150,169,151
518,151,174,157
510,144,189,157
514,132,192,162
539,133,179,149
545,150,142,163
532,150,155,163
529,152,161,158
531,144,174,151
550,148,145,157
536,136,165,163
539,137,157,167
538,133,165,164
532,133,178,157
536,117,185,162
545,103,180,172
534,121,188,157
543,112,176,169
540,118,188,154
539,116,184,161
537,138,158,167
545,132,158,165
542,130,167,161
547,128,162,163
539,127,177,157
549,125,171,155
536,132,170,162
534,146,161,159
531,139,181,149
553,139,149,159
542,126,170,162
545,120,170,165
545,128,163,164
544,134,170,152
544,128,178,150
551,149,152,148
547,148,150,155
527,145,179,149
527,149,173,151
540,149,165,146
533,154,170,143
543,150,152,155
538,152,180,130
545,157,124,174
531,164,178,127
538,168,141,153
546,154,160,140
550,160,150,140
536,158,155,151
553,155,152,140
544,164,139,153
546,162,161,131
532,164,147,157
547,159,155,139
510,166,156,168
551,160,143,146
552,156,154,138
548,158,136,158
537,151,177,135
538,161,148,153
536,155,161,148
541,146,166,147
546,152,134,168
543,152,173,132
540,151,172,137
