drop
0.3123123123123123
0.057
0.028
0.024
0.016
0.023
0.04
0.024
0.042
0.027
0.021
0.039
0.039
0.027
0.015
0.036
0.052
0.056
0.043
0.058
0.025
0.031
0.028
0.04
0.026
0.046
0.06
0.044
0.029
0.084
0.047
0.052
0.059
0.053
0.043
0.02
0.04
0.036
0.045
0.15
0.849
0.802
0.863
0.778
0.81
0.613
0.607
0.184
0.06
0.083
0.047
0.026
0.042
0.074
0.021
0.03
0.045
0.022
0.03
0.049
0.028
0.03
0.05
0.053
0.033
0.047
0.057
0.034
0.038
0.027
0.028
0.022
0.042
0.042
0.047
0.019
0.02
0.023
0.023
0.05
0.015
0.012
0.02
0.016
0.008
0.01
0.032
0.026
0.038
0.031
0.024
0.012
0.004
0.025
0.007
0.017
0.02
0.022
0.011
0.021
