reward,reward_accumulate
-91.002002002002,-91.002002002002
-39.26313156578289,-84.74137068534267
-12.901967322440814,-69.38679559853284
-8.236059014753689,-60.271817954488625
-5.638927785557112,-53.85397079415883
-3.1163527254542425,-47.993165527587934
-2.945277896842406,-44.08129732818974
-2.349793724215527,-40.920240030003754
-2.728414268252028,-39.101455717301924
-1.8595859585958596,-37.05050505050505
-2.957723429402673,-36.639694517683424
-3.4940411700975083,-37.08017334777898
-2.782367874451881,-37.010000769289945
-1.2344453175226802,-35.60068576326881
-1.3272218147876524,-34.554370291352754
-1.7934870929433089,-34.18807425464092
-1.2304841461262428,-33.407376904523794
-1.2294571920662258,-32.780765598088784
-1.0212116427180378,-32.076582978051476
-1.136806840342017,-31.6094804740237
-1.4385923139197105,-31.542787751797704
-0.6661666439383608,-30.775126142097367
-1.265185442845341,-30.702204443671462
-0.825284386849452,-30.248177007375308
-0.703388135525421,-29.741589663586545
-0.699642293934382,-29.297280664640947
-0.7448053631615986,-28.95696136893959
-0.624415157684203,-28.547162398657093
-0.42177316459188247,-27.98451670747267
-0.32354411813727124,-27.37521250708357
-0.4532081680054195,-26.945320816800542
-0.4548267133347917,-26.558079939998127
-0.5175611382163096,-26.270826388678444
-0.386481955351628,-25.884614253360393
-0.6380468013371811,-25.783079516557617
-0.4239284424567349,-25.490791410872525
-0.346955323116841,-25.148787805075813
-0.29529724466433327,-24.782257427827048
-0.42239544603707785,-24.569194081899536
-0.37395934898372457,-24.328908222705568
-0.2244201078075075,-23.959925851850045
-0.3513416986118717,-23.740779542370056
-0.46531314681736785,-23.65396869694644
-0.38128139275892636,-23.497647673810768
-0.25609457987955286,-23.23156070134892
-0.26809278462575276,-22.99460857844736
-0.3010702355369263,-22.806421413221557
-0.3516114919060814,-22.682889226858894
-0.28878140370211636,-22.50874507643013
-0.3456269125382508,-22.404188083761674
-0.3071628855467754,-22.272044549893135
-0.4100271159060751,-22.253754879901535
-0.43087605426517483,-22.26474084416687
-0.823163391914665,-22.67558658493676
-0.5327369588537973,-22.796032655139186
-0.3500776799585707,-22.739031054125967
-0.30672467938034,-22.646818365234477
-0.1986930809151882,-22.455042328316004
-0.2415464668892693,-22.315988406583163
-0.23752062534375573,-22.181569692828212
-0.2021672486434204,-22.02009869014246
-0.21519701930676302,-21.880127098824175
-0.2710995412625597,-21.803917522500356
-0.46728855138361536,-21.930514539289675
-0.3466668717980277,-21.93978368897983
-0.2205184927044349,-21.82787617994212
-0.3152136599053717,-21.81729578053404
-0.21997382314445801,-21.716422300327945
-0.2577718517659676,-21.659458832736707
-0.25553222188888414,-21.605565793797055
-0.2946097832363836,-21.595867547430245
-0.2442256142446423,-21.540146390922096
-0.2740859463828272,-21.519157796682148
-0.24854389924188164,-21.476898336464007
-0.2371498286643822,-21.427685702476033
-0.15694943354517824,-21.302688193265702
-0.17458668294393434,-21.200612994973962
-0.18659213579661277,-21.11539891537071
-0.23025607919087585,-21.078368080608616
-0.2778784734809185,-21.092763659545746
-0.162224224990432,-20.994580180002224
-0.18488030341833436,-20.92342589543775
-0.1607489246858396,-20.83208231424475
-0.1684543863617424,-20.752532768247242
-0.13557806562430147,-20.643960517182556
-0.1316526936359725,-20.535564367027522
-0.23810618512856468,-20.53762686927436
-0.19522949124421868,-20.499471584904374
-0.20551916313666446,-20.47465701861819
-0.20772453027255858,-20.454882832031466
-0.19212299036253144,-20.422224420048572
-0.1812519701301101,-20.381493277100837
-0.13260357638254175,-20.294938655254356
-0.16772518856583582,-20.246757944233448
-0.14469625996063115,-20.178328192928348
-0.19474161189179054,-20.162876696632257
-0.16045526242538583,-20.11546510788771
-0.19592036653435238,-20.106123531872775
-0.1684360448085334,-20.071465368337055
-0.1819018190181902,-20.052650526505264
