server,bus1,bus2,bus3
548,149,187,116
483,138,214,165
535,172,187,106
540,149,166,145
537,119,200,144
546,123,182,149
528,134,184,154
550,125,197,128
552,133,182,133
559,122,194,125
536,153,184,127
540,126,186,148
514,124,201,161
534,132,194,140
543,122,200,135
559,117,194,130
524,136,202,138
543,127,199,131
536,132,191,141
539,111,203,147
525,131,196,148
536,131,199,134
536,131,188,145
537,138,189,136
535,137,184,144
535,128,190,147
539,143,188,130
538,136,196,130
530,153,190,127
523,151,197,129
529,136,198,137
523,132,202,143
511,146,199,144
517,152,189,142
512,143,201,144
535,135,195,135
517,134,200,149
515,137,202,146
521,145,190,144
516,140,190,154
540,106,203,151
532,127,195,146
527,148,189,136
521,158,185,136
534,121,191,154
524,131,194,151
542,121,183,154
525,125,189,161
533,136,189,142
532,143,168,157
539,134,169,158
537,144,157,162
539,114,170,177
538,75,202,185
545,158,147,150
525,160,163,152
551,142,158,149
535,150,160,155
539,145,169,147
541,140,170,149
544,128,169,159
544,134,169,153
537,144,172,147
557,134,167,142
519,159,174,148
539,147,165,149
548,143,161,148
540,130,172,158
544,134,172,150
545,115,175,165
553,112,170,165
549,128,164,159
544,140,165,151
541,154,153,152
543,126,169,162
556,130,155,159
547,131,161,161
550,144,158,148
547,139,157,157
544,149,160,147
553,146,147,154
542,163,149,146
555,145,148,152
555,145,150,150
559,143,142,156
561,126,155,158
563,135,150,152
558,145,148,149
560,118,156,166
554,155,145,146
559,139,152,150
566,135,146,153
558,135,150,157
552,145,153,150
553,136,159,152
549,155,152,144
555,143,155,147
561,130,159,150
554,140,153,153
555,147,155,143
