server,bus1,bus2,bus3,bus4,bus5,bus6,bus7,bus8
149,79,117,144,75,50,75,177,134
194,109,82,151,155,139,101,8,61
228,97,118,126,88,102,20,132,89
525,101,13,21,50,74,8,97,111
528,93,16,10,123,41,7,71,111
536,47,81,6,61,83,76,28,82
482,74,117,11,68,94,95,38,21
527,95,141,64,13,50,31,27,52
540,135,96,23,10,106,13,18,59
505,124,130,8,11,24,8,41,149
455,136,167,8,42,11,6,29,146
455,94,133,13,73,24,9,49,150
399,72,172,14,24,105,94,61,59
446,124,91,99,71,56,22,59,32
459,90,116,11,16,139,114,41,14
451,80,127,10,25,103,114,71,19
458,127,161,19,9,31,52,97,46
382,103,179,6,12,25,70,103,120
369,117,161,9,7,70,77,121,69
333,121,178,48,27,80,63,76,74
387,98,159,31,16,116,110,64,19
332,123,154,19,22,133,76,115,26
353,89,167,28,10,13,99,126,115
314,115,191,46,11,9,57,121,136
359,136,164,80,8,10,54,65,124
326,120,185,70,25,19,49,79,127
279,123,188,58,45,77,66,104,60
314,115,180,34,10,84,79,127,57
350,118,147,40,9,38,79,119,100
308,115,155,29,13,113,77,136,54
303,113,161,42,30,117,84,103,47
253,129,151,73,97,131,60,80,26
243,146,139,108,126,101,29,85,23
248,109,146,49,72,90,70,127,89
202,107,174,47,86,117,64,131,72
260,86,166,31,75,103,75,136,68
287,121,168,69,48,79,102,94,32
268,136,168,55,64,103,72,116,18
236,129,175,115,58,97,89,78,23
249,83,184,108,48,108,95,88,37
260,104,189,56,23,103,59,119,87
242,130,160,100,31,84,88,80,85
281,127,145,63,27,128,105,112,12
305,141,179,16,36,125,100,87,11
223,141,190,48,106,127,54,101,10
200,130,181,53,73,146,87,119,11
201,137,191,52,77,144,74,98,26
210,144,200,87,67,137,53,70,32
217,135,200,116,48,110,72,45,57
224,123,207,43,31,142,101,113,16
183,127,208,70,33,151,109,93,26
176,128,210,37,79,163,74,120,13
170,134,210,38,89,158,70,105,26
175,130,208,47,110,137,33,100,60
181,144,209,61,61,146,60,100,38
149,139,209,88,61,148,83,69,54
149,130,210,86,52,153,84,77,59
142,148,196,79,54,138,82,91,70
162,153,186,101,82,136,68,60,52
189,141,200,75,55,144,86,67,43
184,149,205,63,72,146,57,67,57
196,139,212,42,54,125,84,119,29
191,128,195,56,59,140,84,107,40
164,139,205,70,54,135,85,73,75
116,122,198,119,76,147,82,52,88
129,117,202,97,69,166,81,73,66
131,118,199,91,82,160,74,66,79
129,110,199,79,80,165,92,84,62
142,120,198,81,84,142,86,79,68
165,115,193,66,67,146,91,95,62
153,127,197,45,73,148,96,114,47
141,128,191,102,80,135,100,65,58
134,142,196,113,86,114,101,71,43
121,143,190,117,78,124,102,60,65
123,156,194,67,73,130,108,83,66
120,154,207,52,35,130,109,85,108
104,143,200,55,43,139,103,131,82
103,142,204,97,45,132,110,91,76
129,140,196,110,86,121,99,52,67
124,158,165,79,72,132,118,94,58
114,165,216,29,87,149,137,86,17
77,160,210,32,79,151,130,127,34
114,165,214,48,101,147,123,70,18
106,163,212,33,86,146,142,81,31
85,162,207,24,72,142,134,129,45
98,162,205,26,71,143,124,126,45
111,153,203,22,57,127,123,135,69
124,158,207,25,65,134,108,128,51
117,146,207,36,44,131,134,104,81
104,144,209,26,51,136,117,125,88
93,150,202,14,48,142,127,138,86
83,148,213,23,60,136,139,127,71
92,161,214,18,62,147,153,91,62
110,134,202,27,33,140,152,109,93
111,128,205,20,28,144,162,104,98
124,127,193,31,18,138,148,102,119
106,139,205,19,39,141,131,125,95
120,126,205,15,30,149,121,125,109
143,135,204,9,20,131,129,125,104
124,148,205,17,34,129,139,131,73
