server,bus1,bus2,bus3,bus4,bus5
527,124,118,65,57,109
551,70,114,100,30,135
543,94,127,73,91,72
527,101,128,101,70,73
486,112,137,108,89,68
475,83,136,117,69,120
500,162,156,11,80,91
468,126,155,77,69,105
438,109,140,112,74,127
455,94,171,115,60,105
480,112,136,82,81,109
431,151,143,60,90,125
447,144,142,62,83,122
423,124,146,91,94,122
411,75,138,134,133,109
419,107,138,106,123,107
499,59,128,142,118,54
512,60,153,130,67,78
474,68,167,124,83,84
469,92,144,132,77,86
482,102,139,137,55,85
413,123,142,127,81,114
445,102,122,127,101,103
440,107,98,116,133,106
384,101,161,131,116,107
393,103,154,128,117,105
441,86,173,132,96,72
394,91,183,128,117,87
371,100,164,134,117,114
373,105,128,144,108,142
399,92,118,147,94,150
381,82,116,160,102,159
396,74,133,146,96,155
382,86,137,147,89,159
383,78,147,140,94,158
294,106,200,138,109,153
301,106,207,125,136,125
283,105,217,140,126,129
368,117,206,148,85,76
347,99,212,135,119,88
321,94,217,128,103,137
358,116,217,126,99,84
363,111,213,122,114,77
374,106,214,137,99,70
378,137,212,132,68,73
364,139,217,128,73,79
370,113,215,110,86,106
347,114,212,109,97,121
359,122,212,119,97,91
360,110,213,122,131,64
334,126,217,126,128,69
342,121,216,131,120,70
344,90,219,135,94,118
358,96,216,138,93,99
388,111,208,129,91,73
388,97,211,134,114,56
371,96,218,129,117,69
371,101,211,129,119,69
392,104,208,131,103,62
401,100,194,127,108,70
463,91,212,119,78,37
381,104,198,126,121,70
383,97,208,123,107,82
383,91,202,115,94,115
350,69,212,108,122,139
356,93,211,109,106,125
361,77,214,101,115,132
342,77,207,120,130,124
359,99,153,127,144,118
365,89,207,92,116,131
354,116,213,137,90,90
379,115,215,140,55,96
353,117,213,129,79,109
359,103,211,137,68,122
336,113,183,117,128,123
289,149,183,86,164,129
282,136,190,96,149,147
302,144,204,69,142,139
295,122,204,102,142,135
316,102,210,129,122,121
302,133,208,164,116,77
318,137,211,151,102,81
291,134,212,159,123,81
298,130,210,164,131,67
285,137,213,162,126,77
280,134,212,162,130,82
273,136,204,159,145,83
284,136,208,164,139,69
289,137,209,162,137,66
285,136,207,167,136,69
294,137,210,166,115,78
279,128,211,160,140,82
281,132,210,164,136,77
295,134,205,160,129,77
298,133,207,159,127,76
293,140,200,169,126,72
302,138,203,166,124,67
296,133,204,163,122,82
304,121,204,162,108,101
299,134,209,161,117,80
