drop
0.8448448448448449
0.593
0.191
0.294
0.259
0.111
0.074
0.067
0.045
0.046
0.053
0.059
0.015
0.026
0.015
0.019
0.021
0.042
0.025
0.022
0.026
0.022
0.012
0.014
0.015
0.025
0.028
0.023
0.023
0.052
0.017
0.019
0.019
0.023
0.022
0.006
0.024
0.022
0.022
0.021
0.015
0.012
0.025
0.044
0.027
0.026
0.016
0.019
0.014
0.028
0.044
0.034
0.04
0.066
0.026
0.037
0.028
0.024
0.026
0.028
0.032
0.026
0.041
0.038
0.032
0.06
0.048
0.032
0.033
0.024
0.025
0.032
0.03
0.025
0.046
0.027
0.031
0.027
0.032
0.038
0.019
0.012
0.025
0.016
0.011
0.016
0.026
0.029
0.023
0.023
0.011
0.012
0.008
0.014
0.005
0.012
0.013
0.016
0.006
0.018
