server,bus1,bus2,bus3,bus4,bus5
447,115,126,120,138,54
549,21,153,80,115,82
550,72,136,155,74,13
527,108,155,81,108,21
512,66,150,103,87,82
513,88,167,45,97,90
475,89,194,26,110,106
470,46,180,74,97,133
479,54,144,94,121,108
469,50,176,70,128,107
429,55,209,89,104,114
456,117,166,58,132,71
413,26,194,130,110,127
386,25,205,119,134,131
399,61,213,78,115,134
388,25,214,111,132,130
412,40,199,111,119,119
423,67,174,128,131,77
405,76,196,117,123,83
396,43,210,119,123,109
428,112,194,82,88,96
435,38,191,108,118,110
389,38,186,126,137,124
364,83,183,107,140,123
378,68,189,117,134,114
400,70,170,117,133,110
409,72,197,81,125,116
376,96,213,88,117,110
370,103,209,92,118,108
334,111,204,111,126,114
317,101,206,123,130,123
307,90,188,131,147,137
306,92,183,137,143,139
347,86,161,132,142,132
321,107,165,133,139,135
346,117,165,120,125,127
303,124,200,134,123,116
278,123,209,147,130,113
288,111,204,139,141,117
285,132,175,146,135,127
276,129,198,141,129,127
282,122,201,142,123,130
294,114,210,142,119,121
330,108,214,126,121,101
335,106,214,131,117,97
298,123,214,133,121,111
285,124,215,147,128,101
288,123,214,144,129,102
299,123,212,144,113,109
282,132,206,143,117,120
281,133,213,145,117,111
291,131,211,148,123,96
279,120,218,149,128,106
275,121,217,136,131,120
273,131,214,137,113,132
263,124,210,134,118,151
225,142,211,142,125,155
262,129,209,147,115,138
291,126,199,142,108,134
297,138,203,138,100,124
261,140,213,142,115,129
259,134,214,147,117,129
255,131,205,146,125,138
250,133,206,149,126,136
216,135,207,160,133,149
225,126,210,163,142,134
255,121,208,145,138,133
263,112,214,147,142,122
260,121,210,140,136,133
255,114,212,147,139,133
213,135,211,149,143,149
225,133,210,147,134,151
242,125,208,137,140,148
261,135,208,131,130,135
247,124,200,146,133,150
226,137,210,162,134,131
241,135,210,147,137,130
217,134,212,152,143,142
232,137,210,152,134,135
251,138,206,153,110,142
228,168,205,159,92,148
236,165,207,150,94,148
230,160,211,154,98,147
197,157,208,166,114,158
187,152,214,166,120,161
205,153,209,165,108,160
203,145,215,169,122,146
189,153,211,170,124,153
197,151,206,173,121,152
187,130,214,161,146,162
203,124,218,161,139,155
179,136,217,169,135,164
186,139,213,167,134,161
216,128,205,168,134,149
198,122,212,169,144,155
194,135,211,156,144,160
194,127,215,155,144,165
174,135,217,158,147,169
216,122,214,154,138,156
202,134,214,158,129,163
