server,bus1,bus2,bus3,bus4,bus5
520,68,127,74,78,133
552,121,59,77,53,138
548,81,155,39,19,158
531,91,135,77,17,149
512,61,151,122,18,136
492,51,141,121,49,146
447,97,151,49,106,150
461,150,172,36,24,157
478,105,165,82,22,148
461,81,159,124,26,149
468,52,161,150,25,144
472,73,122,96,88,149
486,59,162,142,16,135
453,68,182,145,15,137
447,60,179,132,46,136
444,50,165,136,68,137
452,55,161,138,53,141
455,72,165,107,71,130
496,46,159,99,83,117
509,50,163,96,79,103
490,53,173,136,30,118
456,63,169,151,30,131
446,88,169,137,28,132
477,90,136,142,44,111
488,74,141,133,50,114
479,80,154,115,60,112
472,98,157,118,47,108
459,114,159,123,52,93
439,104,168,118,62,109
414,75,182,131,80,118
444,49,162,120,69,156
407,66,155,126,75,171
383,87,171,129,75,155
411,75,170,120,72,152
403,77,180,125,75,140
419,54,188,118,85,136
433,63,173,137,89,105
426,74,180,126,89,105
395,73,186,122,89,135
366,94,170,123,93,154
328,127,162,111,115,157
341,123,169,116,101,150
357,109,181,119,96,138
371,109,194,116,88,122
378,108,187,116,90,121
355,107,187,121,123,107
338,126,176,119,144,97
320,123,181,112,151,113
342,109,187,110,146,106
353,81,181,92,154,139
354,98,178,101,150,119
332,108,169,122,150,119
327,95,179,117,156,126
338,104,159,113,142,144
350,122,156,114,133,125
382,132,139,89,125,133
388,136,152,81,114,129
391,126,144,104,100,135
370,130,148,109,116,127
326,155,173,104,121,121
303,149,183,103,121,141
333,145,163,109,112,138
322,151,165,124,129,109
324,155,176,114,122,109
310,143,169,121,122,135
372,105,159,111,126,127
388,98,168,110,117,119
406,90,165,109,110,120
401,104,155,115,116,109
372,96,168,117,111,136
330,131,163,129,139,108
323,131,165,130,124,127
330,129,174,125,112,130
349,113,156,123,124,135
366,119,172,113,103,127
403,103,169,121,77,127
413,96,179,127,79,106
363,105,197,126,78,131
301,120,193,135,100,151
315,145,204,114,97,125
287,159,212,124,93,125
293,149,206,125,100,127
287,158,203,126,102,124
280,160,207,124,107,122
268,167,204,128,107,126
277,164,201,122,114,122
254,173,190,121,129,133
279,170,194,124,112,121
276,163,203,125,110,123
297,155,200,119,119,110
256,164,193,124,127,136
257,166,197,120,132,128
270,163,196,129,115,127
281,161,184,129,123,122
253,164,189,125,137,132
257,169,193,125,126,130
265,158,198,128,131,120
284,158,191,127,121,119
302,144,200,131,110,113
283,155,204,128,101,129
