reward,reward_accumulate
0.069069069069069070.06906906906906907
0.0260130065032516260.060530265132566284
0.0146715571857285770.05501833944648216
0.0137534383595898980.05501375343835959
0.0084016803360672140.052410482096419284
0.0071678613102183690.050841806967827974
0.0114302043149021280.055007858265466496
0.0203775471933991740.06850856357044631
0.0136681853539282140.07456384042671407
0.01670167016701670.08380838083808381
0.0170015455950540960.09319029002636603
0.009000750062505210.09442453537794816
0.0069236095084237250.09408416032002462
0.0081434388170583610.09550682191585114
0.0082005467031135410.09733982265484366
0.009875617226076630.10113132070754423
0.0098829342902523680.10506500382375433
0.0073892994055225290.10661703427968221
0.01947470919522080.1204800252644876
0.018250912545627280.13270663533176658
0.0233820658126577470.14976903662079147
0.0184099277239874530.16137097140779127
0.014652810991782250.16900734814557156
0.0196258177424059320.18159089962081754
0.0197607904316172630.1940877635105404
0.0185007115658294560.20512327397207586
0.0174821289677395440.21500796325789845
0.0202507232401157170.22757955641272903
0.0202765612607331280.24000827614745335
0.0221340711357045220.25414180472682424
0.0209684183360753580.2669118358656731
0.0137191787243351360.2722897590549705
0.0103639504227400830.27440225461377615
0.0042942439483514220.2706256066354893
0.0146004171547758510.277493642675505
0.016722686741298370.2865079585544043
0.0165139598367523460.29527825076353414
0.020447906523855890.30795547251243455
0.019231262340060.3192902382112362
0.019800495012375310.3311082777069427
0.0199517061391741270.3429839752189078
0.0174289864044382020.35224648205909664
0.0161631665852694260.36021767948091815
0.0146821518670878890.36671287983817813
0.0172892730949576640.3758527967288162
0.0172829844127046250.3849648905410987
0.0175322879210195940.3943062618353582
0.0131877747453071940.3992791516489927
0.00369395293781505730.39482438417110555
0.00304006080121602430.38996779935598713
0.0043334183023196530.3866546402870645
0.00175003365449335560.3809688647858613
0.00175475008962433250.37553538746014076
0.0023148576825496770.37089575732883945
0.00174548628156875580.3658975617738504
0.00117859247486562250.3605421525384382
0.0011754592185827820.3553921998631555
0.0016724426283211780.35093708512215727
0.0028475058899303380.34783640400684757
0.00098334972249537480.3430223837063951
0.00129510319841308880.3386940769520812
0.00300004838787722380.33623122953596024
0.0019365386752170670.33283067985206116
0.00129689526398849980.3289270144846013
0.00201541562177879640.32588193664517917
0.00081819421506386460.32176245094622646
0.0010447917133091540.3180047463394976
0.00130884277709966320.3146369799555876
0.00157973303960926970.31165669067667645
0.00130001857169388130.30850440720581723
0.00140847054183861740.30556768405188806
0.00079167766218975260.3021153071570438
0.0008493267031055220.2988260113152235
0.00109460938661333260.2958823767888755
0.00029333724449659330.29223056307417433
0.00223687153778339170.29062224502953987
0.00323380823127573070.29008168937258927
0.0045769817561763610.2909396274311209
0.003265864124862340.2905226648438588
0.0036625457818222730.290553631920399
0.00223459548883319550.28920110124816356
0.00412200148782302260.2897962170270369
0.0031446162001951830.28944927047313823
0.00061905498874986610.286622459791188
0.000317650795891716350.28356804197696445
0.00059303015151338960.280863730973616
0.00032184277980206670.2779572178990563
0.00048864191638541350.27528721917294513
0.00067416487825705910.27286823447454467
0.00076667518527983650.2706030067000744
0.0020549676370070.26968428224485985
0.00268481179143251550.2694377112794704
0.0026989537521908840.2692394541876794
0.00051064373025244950.2668858179342333
0.00084211412751713180.2649185780902957
0.00075000781258138110.26290898863529827
0.0007732038474623450.26097176259549065
0.00078572230328880910.25909448055592404
0.000424246709562722840.2569015848644936
0.00039000390003900040.2547225472254723
