reward,reward_accumulate
-62.99276076076073,-62.99276076076073
-7.548646823411715,-39.02927113556786
-2.6374554851617202,-28.652631543848013
-1.5189704926231553,-23.006652913228375
-1.072207841568312,-19.476609721944428
-1.032868311385231,-17.26283530588437
-0.727159737105302,-15.52352336048009
-0.6821896487060886,-14.26503000375048
-0.662471941326813,-13.342322480275591
-0.4329205920592059,-12.440877387738773
-0.4672842985725965,-11.777070006364221
-0.7947295607967346,-11.590295274606204
-0.3330510808523726,-11.031716593584083
-0.2571430102150153,-10.500823558825594
-0.32375925061670763,-10.124481232082104
-0.2164273392087006,-9.708088943058911
-0.2730787693393728,-9.410070062944847
-0.24081837879882226,-9.128077726540337
-0.19273303858097815,-8.84036033475443
-0.2742376118805934,-8.672557827891355
-0.2094516405543121,-8.469010857659844
-0.20323401063684704,-8.287272330560421
-0.13901173964085403,-8.065952215313652
-0.16751039626651112,-7.8973672653026625
-0.15796587863514547,-7.739425817032633
-0.17928166467941062,-7.621025808684908
-0.22759576280602992,-7.566350901885198
-0.16447023107968142,-7.460584663737933
-0.1546270905893305,-7.3579413428048674
-0.24594296476549227,-7.358611420380615
-0.11395125649214492,-7.235180457434049
-0.1191526922716335,-7.128226694584147
-0.09693987696596865,-7.009153156156191
-0.09870290302655965,-6.901698432306771
-0.08188916826195035,-6.7863905825880195
-0.07563873996499904,-6.673513236478736
-0.09712413849022959,-6.59026727749393
-0.07885733835100925,-6.495691965577984
-0.08279794353701377,-6.411929434087997
-0.08362466561664042,-6.3352518562963525
-0.04703339105831846,-6.22776314056435
-0.09594259387128269,-6.175422129098257
-0.1162036326426195,-6.148007953673286
-0.13978067683356438,-6.148058001318167
-0.08959003533411855,-6.101021489366388
-0.0637364073132025,-6.0321241113936885
-0.05805474584565631,-5.961833060277833
-0.10986737223692161,-5.947492989437241
-0.07442151880650627,-5.900534623155535
-0.09304962099241977,-5.8755711914237825
-0.0781468852330438,-5.838508539383084
-0.07795082597742264,-5.804178195734493
-0.07560055850110382,-5.770263891771498
-0.1380280931128355,-5.801433267282672
-0.0685408643793523,-5.764491608938282
-0.09440341791817716,-5.755955838497063
-0.07479518938928752,-5.729767574869686
-0.06906965637338569,-5.700046431834981
-0.04174748724554653,-5.645181325107159
-0.07680941349022491,-5.6279028150468715
-0.04932769389662124,-5.584968294562147
-0.07957331569864032,-5.574460023548707
-0.0816286290258576,-5.567603755615117
-0.07024142564727578,-5.550850013281409
-0.050192156802412354,-5.515643163740934
-0.057316777526932206,-5.489388324065473
-0.07484701264197975,-5.482302944820032
-0.05408476595244049,-5.4557644230061815
-0.056980535949796414,-5.433674763402332
-0.061187931256160726,-5.417237660537979
-0.05709824082029323,-5.398035704728208
-0.037737676912179385,-5.360799622216942
-0.07564831025082538,-5.363011315223464
-0.06509777159150792,-5.3556349815537745
-0.05746597954639394,-5.341691542553861
-0.026199686837984716,-5.297604889537983
-0.04458672190547927,-5.273390654424053
-0.053752009641149213,-5.2595342247977275
-0.057580754186761826,-5.250537753642426
-0.05758364479555991,-5.242488856110678
-0.028780059013074257,-5.206546031432462
-0.030557433627239325,-5.173608226929574
-0.03894285473318957,-5.15021770141807
-0.02989308206050074,-5.118797938070671
-0.027217543735808643,-5.085793621101405
-0.028188641728392205,-5.054844440051611
-0.04790874607754113,-5.044650858055827
-0.026469459880225945,-5.01379408856918
-0.037921448555601735,-4.9953801391026795
-0.021664329603662262,-4.961539628218085
-0.026596380180001964,-4.9336129957472
-0.016309351188599882,-4.896295535821035
-0.011302659168378146,-4.854949289777307
-0.026499515952297367,-4.829799859572976
-0.0059207149548942605,-4.78488004084254
-0.02157511015739747,-4.756612131376381
-0.01993732925081702,-4.727511716615645
-0.017976183430443174,-4.6972474923213605
-0.013283619026454816,-4.663083687714028
-0.034956979569795724,-4.651409364093655
