server,bus1,bus2,bus3
480,145,172,203
514,159,192,135
552,140,170,138
551,132,149,168
544,125,176,155
538,128,182,152
528,131,195,146
537,124,183,156
535,134,181,150
527,118,191,164
447,152,218,183
539,120,194,147
545,145,181,129
545,128,181,146
543,133,175,149
536,134,186,144
554,139,176,131
541,127,202,130
538,148,183,131
546,131,194,129
547,142,180,131
540,137,189,134
533,137,199,131
547,145,190,118
544,137,185,134
534,140,181,145
527,133,204,136
549,137,169,145
530,148,185,137
537,143,175,145
534,146,165,155
525,146,167,162
519,144,183,154
509,149,183,159
525,132,191,152
547,142,172,139
545,154,155,146
548,156,140,156
534,144,182,140
547,145,149,159
541,160,172,127
528,149,172,151
528,142,178,152
532,146,201,121
550,141,161,148
535,136,179,150
543,142,190,125
529,131,194,146
530,137,182,151
526,132,180,162
538,129,186,147
526,129,182,163
525,129,191,155
529,126,185,160
526,120,209,145
522,124,209,145
538,128,198,136
529,126,193,152
535,132,194,139
534,129,189,148
526,132,199,143
521,135,195,149
519,141,206,134
506,129,199,166
534,135,200,131
534,116,206,144
520,117,206,157
526,122,210,142
525,124,206,145
529,120,207,144
537,101,208,154
518,125,209,148
519,114,211,156
499,126,213,162
525,129,217,129
519,114,218,149
528,114,215,143
504,110,237,149
514,120,207,159
496,133,205,166
507,128,203,162
491,133,220,156
502,123,217,158
505,127,210,158
492,123,228,157
508,131,206,155
494,120,236,150
517,126,197,160
473,134,247,146
517,136,185,162
498,130,212,160
498,132,220,150
500,124,219,157
498,124,220,158
502,124,212,162
502,126,208,164
501,120,232,147
518,129,215,138
496,131,199,174
493,136,222,149
