reward,reward_accumulate
-86.04804804804805,-86.04804804804805
-14.657328664332166,-57.65982991495748
-2.6302100700233413,-41.06368789596532
-3.3110777694423605,-34.10627656914229
-0.9111822364472895,-28.194838967793558
-0.5404234039006501,-24.035339223203867
-0.18902700385769394,-20.790255750821547
-0.14014251781472684,-18.331291411426427
-0.23680408934326036,-16.531059006556283
-0.061606160616061605,-14.93939393939394
-0.08355305027729794,-13.66469679061733
-0.27018918243186935,-12.796066338861571
-0.04738826063543349,-11.859066082006308
-0.04400314308164869,-11.0559325666119
-0.007400493366224415,-10.326221748116541
-0.0006250390649415588,-9.681417588599288
-0.042178951703041354,-9.154067886346256
-0.05666981498972165,-8.70215011945108
-0.011158482025369756,-8.255276593504922
-0.04090204510225511,-7.8833941697084855
-0.038954235915996,-7.546930806228868
-0.041774626119369065,-7.245647529433156
0.0083481890516979,-6.922257489456063
-0.046710279594983126,-6.680528355348139
-0.0125205008200328,-6.425817032681307
-0.08584945574829801,-6.26451017346821
-0.06022445275750954,-6.092707137301382
-0.06168077431336833,-5.9367834565520194
-0.0073105969171350735,-5.73937032311459
-0.13837127904263474,-5.686422880762692
-0.006838930288073809,-5.509822897512823
-0.04134504203256352,-5.3789805931435355
-0.055395618049031786,-5.271371859753326
-0.021088855554575136,-5.137415806347246
-0.00028572244921283465,-4.990914026115032
0.013750381955054307,-4.838523292313675
-0.02756831265709884,-4.735317170734344
-0.010895023553251401,-4.621595305139609
-0.026154516782481603,-4.529244339598451
-0.007825195629890747,-4.423835595889897
0.01207346520646845,-4.30386106978219
-0.019476654206052525,-4.22086240148575
-0.06835042675411056,-4.191050954673364
-0.11500261369576581,-4.210800245460124
-0.022667170381564034,-4.139891997599947
-0.013391595469466727,-4.063283984434444
-0.002361752377710164,-3.979191046618013
-0.012833600700014583,-3.90912310673139
-0.022878017918733035,-3.8522214739076306
-0.03454069081381628,-3.8097161943238866
-0.03980470205298143,-3.7748191141002763
-0.054577972653320254,-3.7568030154426046
-0.02305703881205306,-3.708975641049831
-0.0880942239671105,-3.7283838589603513
-0.009363806614665722,-3.6699576355933745
-0.03985785460454651,-3.6442793621314666
-0.028526816259934386,-3.60887033105844
-0.02629355678546182,-3.5729409127743583
-0.017288428617434192,-3.5296699944066847
-0.03383389723162053,-3.504675077917965
-0.0067869965081394775,-3.454007442744963
-0.011564702656494459,-3.409861449378216
-0.02901633359259671,-3.38475213892284
-0.033297395271801124,-3.365161955655557
-0.015692549116140247,-3.329081985876706
-0.03687934665676753,-3.315519932120184
-0.03934387080404185,-3.3053776922043614
-0.037279959999411756,-3.2940484418888514
-0.020637980260583486,-3.266945897766634
-0.008800125716081658,-3.229074701067158
-0.021479175763038916,-3.2050733108917027
-0.029597633300462507,-3.1901554188252614
-0.016739955341853997,-3.1631940163563885
-0.024703036527520643,-3.1451506101433804
-0.017640235203136043,-3.1208549447325966
-0.006776404952696746,-3.0865669285122173
-0.010623514591098586,-3.057104637722568
-0.01825664431595277,-3.036167130347825
-0.021861036215648298,-3.019595184749174
-0.029162864535806698,-3.011012637657971
0.003617328608995173,-2.9702218545907972
0.007268381321723436,-2.926730813790412
-0.00620489403486789,-2.8976734659453727
0.0010833462303122656,-2.8620935963523375
0.004635348651160602,-2.8237861621901432
0.002232584099815114,-2.7887184734706216
-0.010563339808503547,-2.7672272095081554
-0.002409118285435062,-2.7381902067068946
-0.005786581871706424,-2.713210260789447
0.0032555917287969867,-2.6798075534172603
0.0010000109891317487,-2.6493587841624633
0.006478331286209633,-2.6140827617691498
0.009666770610436672,-2.5763072721212055
0.003117054436749327,-2.5457824019404462
0.009463257507973768,-2.5095211528542407
0.0020000208335503493,-2.4813800143751497
0.005103145393251476,-2.4506953679934846
0.006081694711170522,-2.419606322513495
0.005000050505560663,-2.3901655572278506
-0.008180081800818008,-2.3744437444374444
