server,bus1,bus2,bus3,bus4,bus5
513,109,86,78,102,112
505,89,107,75,112,112
510,104,107,89,100,90
503,80,99,109,110,99
503,98,94,92,106,107
486,101,105,104,111,93
514,107,105,69,110,95
502,92,110,92,97,107
521,101,99,92,86,101
524,109,96,91,79,101
523,85,102,102,116,72
503,83,93,111,102,108
469,106,108,116,97,104
498,100,94,99,107,102
523,113,92,88,92,92
536,90,108,88,102,76
496,90,102,98,111,103
472,84,124,88,114,118
495,102,101,92,95,115
521,103,86,90,102,98
518,99,101,101,99,82
493,108,100,84,115,100
513,96,124,92,76,99
508,86,111,101,90,104
478,112,102,106,113,89
498,110,96,89,100,107
495,91,98,114,96,106
501,95,97,88,108,111
521,88,84,103,93,111
480,106,99,101,102,112
492,85,118,111,99,95
495,113,92,110,86,104
510,90,93,105,96,106
495,98,94,94,118,101
505,95,96,110,88,106
498,99,100,106,108,89
487,99,116,95,100,103
509,91,95,103,106,96
528,77,88,101,100,106
518,89,102,84,104,103
485,97,92,112,122,92
500,96,112,100,95,97
486,103,84,101,115,111
511,112,86,98,98,95
470,103,99,109,109,110
512,89,107,107,104,81
521,94,93,107,95,90
511,113,91,99,84,102
507,82,95,97,100,119
455,109,99,106,131,100
500,93,97,100,121,89
500,102,99,100,99,100
503,97,104,105,86,105
537,103,99,87,92,82
494,92,118,109,92,95
515,88,86,92,113,106
519,100,88,103,97,93
482,115,111,95,94,103
497,94,111,102,95,101
521,92,93,97,92,105
510,94,83,97,109,107
532,95,98,74,107,94
497,105,96,102,103,97
498,109,103,100,103,87
472,103,115,87,120,103
488,116,96,88,104,108
521,99,87,96,95,102
472,105,102,109,103,109
500,114,103,101,83,99
511,96,89,111,93,100
497,108,103,87,102,103
490,109,95,112,88,106
501,93,101,97,101,107
513,113,78,97,97,102
489,106,98,110,99,98
493,120,114,80,101,92
503,90,99,102,95,111
524,87,89,110,95,95
495,110,98,101,106,90
474,104,118,98,109,97
478,87,95,112,121,107
492,107,99,105,94,103
467,106,121,101,103,102
475,97,110,98,109,111
490,99,101,90,106,114
523,81,87,104,101,104
478,107,104,114,91,106
497,89,97,106,110,101
499,79,121,117,86,98
495,116,101,99,96,93
529,93,101,86,96,95
470,96,100,124,110,100
495,88,126,91,109,91
468,115,117,110,97,93
485,101,97,97,107,113
484,99,98,102,103,114
486,100,105,111,109,89
519,103,100,87,106,85
515,96,104,106,79,100
518,99,103,97,94,89
