reward,reward_accumulate
-9.470997997998012,-9.470997997998012
-4.736856428214105,-9.469986493246632
-3.1935851950650296,-9.505856952317444
-2.246374593648414,-9.375173043260794
-1.6379273854770937,-9.137690738147612
-1.1995159193198865,-8.814004334055673
-1.0806715245035008,-8.635352478925542
-0.9142829103637964,-8.470081385173142
-0.7584116012890322,-8.287268252027989
-0.6838766876687662,-8.14233523352335
-0.6241531957450678,-8.026208837167015
-0.7120910909242452,-8.069393449454102
-0.48224724978844485,-7.930870374644201
-0.4047542681620107,-7.769093435245371
-0.3331069404626979,-7.5842262817521044
-0.35028470529408096,-7.460467216701028
-0.3612705453261953,-7.382860932996032
-0.36861564531362895,-7.341294849713843
-0.3793553871256379,-7.334245960313668
-0.3854408220411019,-7.352956147807365
-0.35144659269489026,-7.354245297395076
-0.2905210236828947,-7.310467248511255
-0.2964144528022961,-7.289021479194708
-0.2590717946581111,-7.2443713904745595
-0.3307795111804476,-7.285364454578153
-0.3589046886418717,-7.364052040463061
-0.316960480017779,-7.4082597503610765
-0.2725284474445512,-7.416198042787193
-0.21763122866305723,-7.37808948584429
-0.28193343111437097,-7.4140784026133675
-0.2807539275460506,-7.455660795509468
-0.2210564392637269,-7.443720553767254
-0.26201803084942055,-7.480164459529026
-0.20021330039118795,-7.460366451954418
-0.1688730820880598,-7.416080116574717
-0.13823258979416075,-7.348304758465465
-0.17294772831698146,-7.3226442876834055
-0.11960754230374471,-7.249545593305047
-0.08621782609810509,-7.149872868535053
-0.08288422210555263,-7.054005800144969
-0.09103961072221275,-6.972992292494899
-0.08079337603276271,-6.8877580894782815
-0.08581653061699109,-6.81339047419703
-0.082717107206982,-6.741254278506293
-0.06879601768928206,-6.660241316473677
-0.05917572121133073,-6.574626035348562
-0.047392582820911106,-6.482129981488935
-0.05190353965707621,-6.3989863330485734
-0.0545534806832793,-6.322945590726314
-0.056083321666433365,-6.2525674713493915
-0.05230131963371832,-6.182267024843593
-0.05332714090655591,-6.116702128887069
-0.06423894790467748,-6.065529425083471
-0.08737424767125314,-6.040576973647646
-0.06143006236477026,-5.992176366843014
-0.06376233504169716,-5.9489336416721565
-0.046826137300654457,-5.891390691064737
-0.05482479008258763,-5.844638028241848
-0.05110342548178783,-5.7966781131883405
-0.04836530608843482,-5.748430507175102
-0.04127079132444789,-5.695463187921088
-0.049308085614284125,-5.652907482378709
-0.041851061127954406,-5.6050284290226555
-0.06719469054203973,-5.584643181924702
-0.10691922952660818,-5.6056435022077125
-0.04667426779193623,-5.5673824906437765
-0.05165354706786671,-5.535939536410964
-0.04402473565787735,-5.498552199297019
-0.04233770054638478,-5.4611995826026245
-0.05999494278489691,-5.443176273946749
-0.06865005140917478,-5.435160790997035
-0.0529963610605703,-5.41266775927441
-0.04062572090028632,-5.379146330771631
-0.048221786780902456,-5.354675968594153
-0.11567230229736404,-5.3989516393551735
-0.06217491019618674,-5.39008677745759
-0.03294470058052703,-5.353029441940807
-0.027327029833715825,-5.311727009320639
-0.03522869909745693,-5.279717806554521
-0.032856773209665104,-5.246577282216041
-0.045654403140779544,-5.227458326646023
-0.04431763801997587,-5.208025695435329
-0.02901037361895923,-5.174288015518281
-0.029951880379528322,-5.142640495720204
-0.02839578112683679,-5.1105339121636915
-0.021522622356073887,-5.0726310305933975
-0.025206577087092962,-5.039530833687765
-0.017750110796713604,-5.000012897873865
-0.020756772548006158,-4.964589118978891
-0.02163957377304192,-4.931065978510895
-0.019390509785821814,-4.896268354597328
-0.019443146121153495,-4.862490614028436
-0.018244561769481377,-4.828449768277102
-0.019722986414749087,-4.796805721337487
-0.013025705533742458,-4.7593382035600635
-0.017160345420264792,-4.72692159293329
-0.020549644841699397,-4.698739584944201
-0.014230686027408446,-4.665023459423084
-0.011331336680168488,-4.62923287103913
-0.013325943259432585,-4.596266022660258
