server,bus1,bus2,bus3
454,144,214,188
502,164,170,164
522,152,169,157
551,137,201,111
546,168,175,111
552,162,170,116
538,147,183,132
528,121,208,143
541,130,183,146
530,151,207,112
526,155,188,131
520,143,183,154
516,151,175,158
529,151,176,144
540,155,181,124
538,148,195,119
542,152,160,146
533,141,199,127
541,153,155,151
530,132,206,132
544,146,178,132
538,140,185,137
519,148,192,141
539,137,181,143
530,146,184,140
531,135,196,138
525,143,202,130
536,153,189,122
521,142,195,142
523,141,193,143
526,136,193,145
182,123,632,63
428,150,212,210
550,172,97,181
565,173,98,164
565,164,85,186
539,144,170,147
552,120,157,171
527,134,198,141
533,148,182,137
547,143,183,127
536,138,193,133
534,144,185,137
536,131,182,151
550,140,175,135
529,147,173,151
539,145,177,139
532,146,160,162
535,147,169,149
527,151,177,145
537,149,170,144
528,136,171,165
528,146,170,156
516,156,171,157
523,153,172,152
524,161,182,133
511,158,195,136
505,158,186,151
527,159,184,130
524,156,176,144
499,161,202,138
507,154,193,146
502,158,196,144
484,155,205,156
513,157,201,129
508,147,201,144
497,141,214,148
514,142,200,144
490,148,208,154
498,140,214,148
497,150,214,139
501,159,202,138
485,158,211,146
468,162,212,158
499,164,192,145
469,169,216,146
480,167,213,140
459,161,210,170
486,157,203,154
488,150,195,167
512,147,202,139
510,142,207,141
494,154,206,146
498,148,205,149
484,154,212,150
502,154,210,134
470,150,205,175
523,141,194,142
461,148,217,174
537,123,166,174
502,150,200,148
479,156,213,152
487,156,209,148
489,143,201,167
503,148,209,140
484,152,202,162
476,157,207,160
486,148,208,158
506,140,199,155
488,142,199,171
