server,bus1,bus2,bus3,bus4,bus5
369,84,153,102,110,182
506,99,165,80,53,97
502,63,136,138,72,89
526,64,117,130,63,100
523,57,109,156,71,84
532,51,108,152,52,105
532,60,103,139,53,113
552,103,69,132,61,83
428,83,64,246,73,106
259,68,119,311,130,113
220,79,95,381,77,148
266,141,88,322,49,134
294,102,116,222,127,139
308,113,66,234,135,144
295,134,127,241,134,69
250,131,172,228,100,119
191,139,149,290,146,85
171,139,90,351,159,90
158,163,134,272,120,153
151,196,99,251,160,143
231,156,52,247,173,141
215,88,156,228,175,138
231,108,123,248,141,149
234,87,92,242,149,196
182,120,146,187,162,203
142,90,241,278,95,154
201,135,125,248,144,147
176,190,73,241,176,144
229,154,100,218,129,170
290,144,138,215,82,131
245,161,149,222,69,154
207,156,143,262,90,142
212,190,137,237,95,129
186,182,114,256,98,164
245,175,82,272,128,98
255,190,98,241,126,90
196,172,103,254,112,163
206,208,83,252,86,165
346,123,66,260,94,111
221,166,79,275,134,125
240,150,120,254,95,141
138,146,125,309,171,111
113,137,138,318,202,92
166,168,86,277,180,123
208,158,88,245,160,141
218,144,99,242,162,135
179,171,122,257,204,67
184,128,102,299,198,89
222,138,73,287,137,143
207,133,76,284,181,119
125,199,121,206,184,165
128,172,118,294,185,103
201,142,147,300,150,60
205,165,126,310,101,93
119,167,147,238,172,157
189,165,91,287,85,183
197,162,53,310,91,187
162,220,85,308,70,155
153,135,63,300,199,150
191,126,108,291,205,79
151,165,91,314,178,101
195,130,120,245,176,134
128,128,144,202,197,201
166,131,129,245,131,198
138,154,81,239,199,189
102,126,108,268,202,194
141,139,121,262,162,175
127,175,100,262,194,142
182,177,98,251,181,111
172,149,85,230,183,181
202,151,80,258,194,115
172,219,70,282,158,99
146,153,46,290,120,245
169,109,97,283,125,217
162,153,56,258,155,216
199,144,105,305,135,112
290,119,108,205,149,129
248,155,71,212,177,137
133,197,105,184,137,244
136,146,59,272,144,243
0,0,0,488,512,0
0,0,0,780,220,0
0,0,0,781,219,0
0,0,0,782,218,0
0,0,0,778,222,0
0,0,0,780,220,0
0,0,0,778,222,0
0,0,0,781,219,0
0,0,0,778,222,0
0,0,0,781,219,0
0,0,0,780,220,0
0,0,0,780,220,0
0,0,0,781,219,0
0,0,0,781,219,0
0,0,0,780,220,0
0,0,0,780,220,0
0,0,0,780,220,0
0,0,0,781,219,0
0,0,0,782,218,0
0,0,0,781,219,0
