server,bus1,bus2
691,130,179
658,141,201
623,162,215
630,161,209
645,154,201
661,142,197
618,169,213
648,164,188
666,147,187
659,146,195
663,146,191
642,154,204
656,156,188
673,134,193
687,137,176
684,144,172
670,153,177
539,223,238
624,106,270
749,78,173
776,70,154
650,176,174
670,170,160
680,150,170
658,166,176
505,379,116
355,433,212
202,576,222
462,344,194
741,126,133
727,162,111
776,105,119
842,76,82
889,64,47
930,32,38
894,33,73
890,30,80
725,24,251
724,111,165
767,68,165
735,130,135
701,137,162
594,168,238
443,182,375
617,178,205
707,157,136
680,159,161
680,134,186
601,150,249
619,151,230
642,156,202
668,163,169
680,164,156
656,152,192
614,164,222
673,165,162
679,153,168
695,148,157
656,161,183
643,178,179
620,188,192
600,189,211
644,164,192
581,218,201
701,109,190
692,133,175
707,121,172
709,137,154
694,138,168
712,115,173
702,130,168
700,146,154
713,142,145
726,124,150
712,143,145
711,159,130
723,144,133
693,143,164
667,152,181
627,165,208
11,981,8
0,1000,0
0,1000,0
0,1000,0
0,1000,0
0,1000,0
0,1000,0
0,1000,0
0,1000,0
0,1000,0
0,1000,0
0,1000,0
0,1000,0
0,1000,0
0,1000,0
0,1000,0
0,1000,0
0,1000,0
0,1000,0
0,1000,0
