server,bus1,bus2,bus3,bus4,bus5
494,122,102,64,117,101
425,105,179,68,132,91
359,93,160,106,142,140
335,99,142,144,152,128
319,108,136,149,159,129
349,93,141,140,151,126
411,77,153,106,135,118
451,57,155,93,110,134
415,53,180,109,109,134
420,52,174,124,107,123
480,39,164,119,101,97
452,73,115,72,122,166
267,106,108,133,253,133
168,128,121,138,315,130
312,170,142,101,173,102
464,164,122,73,112,65
500,98,161,140,82,19
486,64,177,143,99,31
517,70,168,128,28,89
514,117,162,89,19,99
498,93,180,114,15,100
486,96,173,110,17,118
483,80,154,130,79,74
489,72,156,118,85,80
477,70,155,118,80,100
489,81,149,95,87,99
482,80,153,75,107,103
500,74,148,65,106,107
491,55,143,94,105,112
483,78,138,111,75,115
466,77,139,122,84,112
466,70,148,136,87,93
486,100,132,111,86,85
418,71,157,121,125,108
454,95,152,102,99,98
464,81,151,93,111,100
468,75,132,99,115,111
467,59,133,96,128,117
438,71,125,122,137,107
446,97,132,137,87,101
448,88,126,132,91,115
440,100,140,108,88,124
424,100,148,121,94,113
407,86,185,106,105,111
436,69,173,114,115,93
427,76,172,104,117,104
436,71,164,111,101,117
419,83,160,111,104,123
413,80,151,127,107,122
379,101,163,138,101,118
412,102,155,118,108,105
440,85,143,132,123,77
458,63,152,109,116,102
443,88,137,114,115,103
431,83,145,99,115,127
438,89,154,87,119,113
450,82,153,98,101,116
433,108,142,91,120,106
417,121,139,85,130,108
398,109,147,113,119,114
384,112,170,129,95,110
418,110,150,119,100,103
409,121,153,101,101,115
414,131,141,111,94,109
410,117,134,111,105,123
454,122,99,100,85,140
481,104,92,112,102,109
491,93,87,127,84,118
427,112,117,143,67,134
438,102,113,120,113,114
440,99,136,118,113,94
440,93,147,125,105,90
470,102,152,129,79,68
467,102,145,147,78,61
432,75,150,138,119,86
435,77,160,146,110,72
399,64,174,131,131,101
414,82,186,123,125,70
398,124,165,109,132,72
384,138,171,126,127,54
401,119,174,116,121,69
407,108,169,112,125,79
419,105,151,116,120,89
463,89,138,128,114,68
455,81,154,129,115,66
463,80,155,119,114,69
463,81,185,103,99,69
236,128,201,48,172,215
396,337,138,14,85,30
396,215,204,93,21,71
516,157,86,19,153,69
495,68,154,73,77,133
308,21,339,139,107,86
364,68,321,145,71,31
445,109,80,163,80,123
536,17,146,174,78,49
515,81,140,125,87,52
530,16,41,121,147,145
534,70,78,62,163,93
504,86,82,86,149,93
