server,bus1,bus2,bus3,bus4,bus5
203,121,187,168,121,200
445,145,132,87,114,77
487,102,66,159,67,119
443,158,105,160,67,67
501,77,50,157,113,102
452,164,132,143,55,54
504,104,42,149,64,137
504,103,34,167,88,104
511,44,61,176,104,104
477,135,45,146,155,42
465,131,107,134,52,111
501,117,83,146,42,111
457,129,58,163,98,95
469,122,116,158,62,73
480,122,48,169,55,126
444,106,103,133,126,88
480,122,143,124,41,90
508,114,57,112,104,105
462,102,79,205,63,89
523,88,164,34,103,88
518,125,126,63,81,87
525,128,126,85,82,54
326,119,84,176,53,242
409,131,161,74,187,38
540,107,128,107,43,75
537,76,71,156,91,69
510,133,133,105,49,70
531,96,110,102,69,92
508,118,152,83,77,62
511,109,96,136,76,72
510,137,156,79,54,64
505,130,112,118,104,31
500,128,89,130,102,51
496,125,89,129,130,31
484,133,49,161,122,51
481,143,39,160,111,66
498,132,74,142,96,58
503,83,112,149,90,63
475,59,161,143,145,17
458,45,173,146,127,51
482,95,123,140,92,68
473,64,145,138,89,91
489,16,165,162,93,75
488,51,169,144,119,29
522,82,151,111,104,30
499,60,164,127,103,47
500,75,169,103,122,31
500,36,173,128,86,77
276,103,215,84,154,168
485,73,162,113,66,101
488,95,167,92,101,57
463,71,177,119,77,93
484,82,177,93,117,47
458,75,137,122,87,121
494,72,169,107,85,73
498,74,172,90,102,64
465,63,168,125,131,48
476,56,165,129,104,70
469,48,175,143,115,50
462,57,174,137,84,86
478,52,177,135,91,67
486,55,184,131,96,48
467,109,156,89,81,98
458,109,165,92,84,92
494,61,153,120,100,72
488,109,158,62,101,82
494,82,122,105,74,123
481,122,172,41,75,109
485,111,148,54,72,130
473,109,157,51,106,104
478,74,162,106,60,120
477,84,181,81,90,87
482,64,185,112,55,102
471,76,174,108,75,96
471,67,170,120,87,85
478,59,150,116,133,64
469,37,158,141,77,118
453,67,150,133,98,99
440,44,169,135,107,105
458,88,154,112,88,100
536,183,18,159,0,104
536,150,31,143,0,140
539,181,30,136,0,114
538,148,37,155,0,122
534,147,38,158,0,123
536,150,49,136,0,129
529,134,49,148,0,140
540,159,52,129,0,120
525,113,71,155,0,136
521,121,75,138,0,145
516,120,65,146,0,153
531,127,84,130,0,128
529,127,61,146,0,137
509,128,79,141,0,143
518,117,82,143,0,140
513,125,70,147,0,145
513,105,82,149,0,151
519,88,102,143,0,148
516,117,77,149,0,141
517,147,32,171,0,133
