drop
0.7197197197197197
0.282
0.191
0.196
0.112
0.113
0.106
0.103
0.112
0.108
0.101
0.103
0.089
0.086
0.101
0.076
0.072
0.084
0.092
0.094
0.076
0.088
0.085
0.083
0.068
0.075
0.098
0.068
0.072
0.122
0.059
0.075
0.089
0.086
0.063
0.063
0.083
0.09
0.088
0.087
0.063
0.07
0.106
0.095
0.068
0.095
0.088
0.074
0.072
0.069
0.077
0.078
0.089
0.095
0.058
0.077
0.079
0.074
0.085
0.056
0.046
0.065
0.081
0.101
0.071
0.088
0.074
0.062
0.056
0.061
0.066
0.064
0.063
0.056
0.072
0.06
0.054
0.063
0.057
0.071
0.078
0.073
0.084
0.057
0.059
0.056
0.088
0.066
0.077
0.06
0.051
0.047
0.051
0.079
0.052
0.062
0.062
0.06
0.052
0.073
