drop
0.5115115115115115
0.076
0.036
0.043
0.026
0.051
0.024
0.017
0.024
0.02
0.019
0.014
0.017
0.009
0.016
0.013
0.011
0.012
0.019
0.006
0.013
0.015
0.011
0.028
0.006
0.017
0.017
0.011
0.022
0.015
0.018
0.021
0.022
0.019
0.015
0.012
0.02
0.015
0.013
0.016
0.02
0.023
0.024
0.038
0.017
0.017
0.023
0.035
0.023
0.023
0.022
0.028
0.036
0.032
0.02
0.019
0.032
0.029
0.017
0.019
0.019
0.024
0.03
0.031
0.029
0.046
0.034
0.025
0.026
0.038
0.034
0.019
0.022
0.036
0.028
0.024
0.028
0.02
0.024
0.022
0.038
0.014
0.047
0.05
0.004
0.014
0.01
0.011
0.0
0.007
0.008
0.01
0.006
0.0
0.002
0.007
0.01
0.009
0.007
0.012
