server,bus1,bus2,bus3,bus4,bus5,bus6,bus7
459,31,111,83,91,43,116,66
545,101,72,10,32,26,157,57
484,25,143,16,68,21,137,106
454,16,144,47,68,35,128,108
437,22,152,83,67,34,124,81
402,14,150,84,89,52,111,98
396,13,98,85,138,52,92,126
364,50,114,72,116,57,121,106
327,52,115,90,93,87,108,128
292,14,129,122,112,100,106,125
324,15,176,123,108,34,113,107
309,27,174,137,78,47,106,122
315,58,167,127,78,84,89,82
259,36,167,130,117,103,84,104
214,64,173,116,126,97,106,104
230,48,169,127,131,98,97,100
184,84,202,121,122,97,104,86
269,36,176,125,108,109,74,103
189,63,205,125,109,85,91,133
190,61,211,117,104,98,90,129
196,80,197,105,94,91,120,117
165,62,206,110,81,117,132,127
125,68,206,135,96,124,125,121
133,63,214,130,110,131,113,106
145,76,208,118,102,107,129,115
149,81,200,116,104,106,125,119
162,89,208,110,105,83,120,123
160,74,210,102,97,95,129,133
138,91,210,105,103,106,124,123
126,106,211,107,117,105,114,114
122,115,201,116,124,80,122,120
98,125,204,122,133,102,106,110
91,123,200,121,124,133,99,109
112,100,190,122,125,141,103,107
87,116,198,122,138,138,101,100
116,113,195,110,129,137,99,101
112,102,198,126,113,138,101,110
106,110,203,122,127,133,94,105
103,108,200,134,127,127,99,102
92,100,191,137,133,139,119,89
78,133,173,121,131,121,144,99
85,118,176,111,128,139,129,114
108,108,192,101,106,148,133,104
121,110,199,122,100,119,121,108
112,116,191,113,91,122,137,118
56,116,195,131,116,125,140,121
68,134,203,113,96,132,134,120
79,140,196,100,107,131,123,124
100,132,203,88,85,151,112,129
87,120,206,111,102,137,122,115
84,117,200,114,117,128,130,110
57,136,173,128,140,121,118,127
66,132,172,126,148,105,118,133
73,127,184,113,138,114,131,120
74,124,194,108,122,107,138,133
68,114,195,126,120,113,137,127
68,119,192,102,122,127,140,130
63,119,188,119,143,133,122,113
74,129,199,121,139,108,116,114
78,138,202,113,124,102,121,122
64,125,200,115,126,103,132,135
84,126,202,92,124,112,134,126
87,122,192,103,128,115,136,117
88,110,205,103,127,104,134,129
78,108,204,98,134,111,144,123
60,109,201,108,144,104,127,147
56,125,204,122,127,102,140,124
61,115,203,109,125,134,121,132
69,113,198,121,129,133,120,117
66,104,202,124,120,141,118,125
58,112,206,134,133,83,119,155
54,114,203,123,139,102,117,148
71,118,202,121,149,100,95,144
48,121,203,117,160,115,95,141
37,113,185,140,155,130,115,125
53,114,191,120,151,146,102,123
85,107,186,118,146,136,114,108
71,113,184,128,150,135,110,109
69,133,194,116,138,127,108,115
66,140,210,104,131,102,120,127
45,133,198,127,120,75,141,161
44,140,206,112,125,91,136,146
45,131,195,128,105,74,154,168
45,133,197,115,130,89,134,157
42,140,213,108,141,117,127,112
44,141,193,118,136,89,142,137
81,134,206,132,133,77,116,121
64,136,206,125,138,83,112,136
78,134,209,125,150,96,106,102
63,136,209,118,147,104,113,110
60,141,214,99,151,120,101,114
50,137,210,111,145,103,129,115
36,134,206,112,149,115,120,128
83,144,212,120,150,114,87,90
73,145,209,123,162,106,92,90
97,134,205,117,149,110,100,88
61,131,209,113,151,111,107,117
65,129,206,111,143,104,118,124
58,128,199,106,141,112,108,148
66,137,213,102,141,109,133,99
