server,bus1,bus2,bus3,bus4,bus5
390,74,173,141,83,139
357,95,190,66,155,137
313,107,224,78,152,126
473,102,204,46,157,18
486,21,197,161,119,16
478,17,192,159,133,21
466,18,175,163,146,32
427,58,122,129,126,138
442,43,149,124,153,89
435,85,154,114,148,64
418,55,160,126,147,94
386,68,174,142,151,79
293,82,176,145,179,125
371,80,173,100,148,128
269,134,148,145,152,152
272,119,160,132,162,155
309,133,144,141,141,132
378,128,193,111,135,55
356,128,183,113,130,90
335,126,174,99,137,129
302,141,180,105,151,121
264,142,194,110,153,137
246,137,195,130,145,147
233,138,207,139,142,141
247,145,203,134,141,130
280,135,200,128,132,125
329,142,189,100,135,105
303,139,197,106,135,120
272,143,208,110,136,131
232,149,211,126,144,138
200,150,209,136,148,157
179,155,202,139,160,165
218,144,198,152,145,143
203,155,202,142,152,146
206,156,205,148,161,124
186,165,196,147,160,146
207,153,194,146,154,146
176,152,201,154,165,152
183,153,203,156,158,147
185,155,206,167,152,135
169,164,205,163,158,141
182,161,192,155,166,144
219,153,189,147,158,134
236,159,204,144,138,119
228,165,215,141,133,118
195,163,215,148,144,135
215,157,212,147,145,124
212,156,213,151,145,123
224,159,212,147,144,114
190,165,214,151,150,130
187,165,212,162,138,136
181,172,214,155,139,139
170,175,210,162,150,133
199,175,209,151,141,125
194,170,204,158,151,123
208,170,199,160,148,115
192,174,199,165,152,118
191,165,207,160,148,129
194,161,209,170,133,133
189,162,205,165,145,134
187,166,209,158,147,133
186,166,208,163,141,136
214,164,194,148,147,133
224,162,198,149,136,131
212,161,213,152,131,131
200,144,206,159,140,151
208,143,212,151,139,147
174,142,215,160,146,163
213,138,205,154,142,148
213,131,204,155,147,150
181,158,205,164,145,147
182,156,201,168,147,146
201,158,200,162,136,143
183,159,200,161,144,153
183,156,207,162,139,153
173,153,207,163,150,154
167,155,208,164,147,159
177,163,194,167,150,149
180,163,186,167,147,157
207,159,202,160,122,150
168,173,215,163,130,151
170,168,214,155,132,161
172,169,220,162,127,150
168,168,214,168,129,153
163,168,220,170,126,153
160,171,216,172,127,154
169,158,214,177,142,140
169,166,213,176,135,141
172,167,216,173,131,141
169,153,210,175,155,138
165,159,213,170,151,142
158,158,215,177,164,128
164,164,214,171,140,147
170,156,213,170,136,155
165,158,210,178,146,143
182,147,206,171,151,143
179,142,208,171,162,138
177,137,207,176,168,135
180,143,205,165,161,146
183,155,212,164,142,144
