reward,reward_accumulate
-77.85885885885885,-77.85885885885885
-36.23161580790395,-75.1415707853927
-21.085695231743916,-71.17172390796932
-18.919479869967493,-72.29382345586397
-17.094618923784758,-74.92678535707141
-12.914985830971828,-75.351891981997
-8.804114873553365,-73.3899128446921
-7.299412426553319,-71.51443930491311
-6.297477497499722,-69.86498499833314
-4.354535453545354,-67.23232323232324
-2.865896899718156,-63.98563505773252
-2.6438869905825486,-61.29694141178432
-2.31617816755135,-58.897607508269864
-2.0713622401600116,-56.761697264090294
-1.9265284352290153,-54.90386025735049
-1.7997999874992188,-53.271954497156074
-1.6582740161185952,-51.796399788222836
-1.6334796377576533,-50.55214178565476
-1.600663192799621,-49.4920258960998
-1.7175858792939647,-48.73488674433722
-1.5684556407447974,-47.98252297728463
-1.3640165462066458,-47.1654166098459
-1.317883386234184,-46.432540545241096
-1.1745906079419977,-45.672361348389515
-1.3174926997079883,-45.16288651546062
-1.4882495480595408,-44.91403515519828
-1.4406089114411644,-44.69109967035816
-1.219614986249509,-44.31454694810529
-1.233283906341598,-44.01969033414945
-1.0642354745158171,-43.616553885129505
-1.010355172747508,-43.2198780605826
-1.0040313759804993,-42.87324603893872
-1.0133943452831904,-42.58741173974969
-1.5242507132562721,-42.85905467807877
-1.34795279865139,-42.98242806937341
-1.5854607072418678,-43.37389927497986
-1.2996567474796616,-43.50125679072407
-0.9411826627016501,-43.29763941156346
-0.9325880150773097,-43.120003077001975
-1.1946048651216281,-43.23658091452286
-1.557159930730018,-43.73916436986268
-1.6210862163384843,-44.3188171146932
-1.7172724947091793,-45.00539547431335
-1.1502761426396055,-45.13279847269256
-0.9922887175270562,-45.12211382475166
-0.7269940650883715,-44.868171047196675
-0.6126726100555331,-44.526181408115065
-0.6188462259630408,-44.21737952874018
-0.5938488540582461,-43.90881446560134
-0.6324726494529891,-43.663093261865235
-0.7923684778132905,-43.599305868742526
-0.6178580357314564,-43.37869959037674
-0.5433121379648672,-43.103530255287836
-0.5594362858571456,-42.864738235893256
-0.5143729885997927,-42.599738177057766
-0.4943659708209075,-42.333380953231305
-0.6380813698485939,-42.22875839927016
-0.9509819134812669,-42.451645718029624
-1.2224613976508076,-42.954575501279685
-1.1095018250304172,-43.34815580259671
-0.6094854014000229,-43.24700404924671
-0.7495282181970677,-43.29898869336602
-0.7087731551294465,-43.32046540421277
-0.6298379662182222,-43.273410522039406
-0.5611009400144618,-43.1687564424068
-0.5510689555902362,-43.065743420354856
-0.5518888341617039,-42.97485037090106
-0.5200076471712819,-42.862865630376916
-0.527109088537515,-42.76876476470674
-0.5138073401048586,-42.67158102258604
-0.4994577388413921,-42.57002211298751
-0.516368282892818,-42.49513187683162
-0.5272811956328168,-42.44028000383567
-0.5283449776348329,-42.39509993378289
-0.538807184095788,-42.36863158175442
-0.5436782062921881,-42.35482045816392
-0.6415537864128106,-42.44630449746101
-0.6087257528942679,-42.5108398825626
-0.5856782997253129,-42.55839947341106
-0.558156976962212,-42.58456980712259
-0.5126112668057631,-42.5714391535698
-0.49896949962804427,-42.55123842973695
-0.45523440041446284,-42.493801130134095
-0.4462076929487256,-42.43412421576447
-0.4112518970811421,-42.346145248767634
-0.47693577832300377,-42.33067826370074
-0.3182105541443005,-42.16232370487017
-0.3122990033977659,-41.995499948863056
-0.32467780536859964,-41.84831290239216
-0.377181968688541,-41.76050845009389
-0.3020033187177881,-41.603600039560874
-0.2910357721279579,-41.44241785236796
-0.35524037892880567,-41.352036043398314
-0.4062596410600113,-41.31837572740135
-0.2977926083432457,-41.18123348666828
-0.2936384754007854,-41.04589631141991
-0.2833225084794689,-40.90606088722564
-0.2814620557352626,-40.7701098990806
-0.6438549884342266,-41.00214143577208
-0.4061240612406124,-40.998239982399824
