drop
0.4144144144144144
0.063
0.049
0.05
0.038
0.02
0.028
0.031
0.034
0.033
0.075
0.092
0.04
0.025
0.033
0.033
0.033
0.063
0.025
0.035
0.033
0.04
0.03
0.043
0.034
0.053
0.081
0.046
0.028
0.076
0.027
0.036
0.019
0.038
0.044
0.028
0.044
0.022
0.032
0.046
0.022
0.038
0.068
0.082
0.049
0.042
0.033
0.044
0.045
0.065
0.064
0.038
0.047
0.112
0.045
0.046
0.038
0.015
0.036
0.038
0.032
0.031
0.094
0.053
0.048
0.031
0.07
0.04
0.025
0.026
0.028
0.026
0.044
0.049
0.05
0.031
0.032
0.038
0.04
0.045
0.033
0.036
0.039
0.046
0.025
0.028
0.047
0.031
0.044
0.042
0.034
0.032
0.03
0.037
0.027
0.033
0.047
0.035
0.035
0.054
