server,bus1,bus2,bus3,bus4,bus5
161,133,111,218,167,210
476,74,179,101,143,27
464,86,130,169,32,119
454,134,86,173,16,137
437,139,153,160,23,88
430,113,186,155,65,51
443,97,143,143,91,83
429,105,164,150,87,65
444,146,137,164,19,90
446,139,153,165,23,74
422,95,126,144,114,99
354,73,172,145,180,76
391,95,157,157,89,111
360,138,193,144,116,49
378,119,199,143,111,50
404,109,182,147,102,56
427,104,143,157,87,82
471,29,100,123,183,94
486,87,72,142,99,114
386,154,157,123,128,52
221,177,132,144,181,145
409,151,199,115,105,21
434,122,196,79,144,25
478,148,195,45,107,27
472,161,190,32,103,42
466,149,93,46,114,132
429,135,133,76,134,93
448,125,99,100,120,108
450,132,151,105,88,74
435,145,158,135,40,87
410,162,145,137,34,112
371,120,139,165,90,115
373,119,160,159,106,83
389,110,195,171,112,23
389,145,192,139,107,28
383,165,192,96,133,31
406,151,187,34,149,73
354,152,176,53,176,89
310,168,182,75,166,99
417,165,173,63,154,28
409,157,182,71,152,29
375,156,187,94,156,32
368,124,196,79,146,87
410,76,198,91,108,117
414,133,210,89,111,43
374,153,214,103,129,27
385,149,216,115,122,13
336,130,210,149,143,32
345,88,214,133,146,74
396,100,209,45,146,104
334,22,210,113,152,169
338,84,211,110,149,108
320,54,212,118,159,137
306,90,194,145,141,124
348,12,206,123,154,157
377,23,206,96,147,151
296,73,229,76,154,172
242,135,201,104,156,162
311,35,162,139,176,177
315,69,204,108,159,145
325,114,216,59,159,127
363,99,216,46,162,114
359,96,208,57,156,124
402,15,212,79,145,147
328,21,211,132,153,155
311,37,210,116,175,151
308,43,211,128,160,150
290,30,214,135,172,159
290,67,212,116,165,150
310,27,211,135,163,154
291,27,208,139,170,165
302,20,201,146,169,162
297,47,206,123,160,167
291,80,209,94,170,156
270,100,205,94,166,165
239,75,208,130,171,177
253,60,213,138,170,166
272,76,207,112,164,169
273,77,215,117,164,154
324,88,211,77,144,156
324,62,211,63,173,167
316,70,214,51,178,171
326,74,217,40,170,173
326,58,206,69,173,168
286,61,216,90,175,172
305,55,213,92,166,169
323,56,208,56,176,181
303,61,206,80,173,177
289,50,221,102,171,167
294,65,208,86,177,170
287,67,213,81,177,175
281,74,213,74,176,182
288,58,212,99,169,174
298,50,211,110,167,164
280,45,215,121,173,166
291,70,206,98,171,164
289,69,210,83,175,174
290,71,211,72,179,177
311,75,213,61,171,169
312,62,214,71,172,169
